Ürün Adı,Fiyat,Bellek Boyutu,Artırılmış (OC) Frekans,Teknik Puan,Link
Gigabyte Radeon RX 6600 XT Gaming 8G,11143.57,8 GB,2593 MHz,67,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-6600-xt-gaming-8g.html
Gigabyte Radeon RX 6600 XT Gaming OC Pro 8G,10774.4,8 GB,2593 MHz,67,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-6600-xt-gaming-oc-pro-8g.html
MSI GeForce RTX 3060 Gaming Z Trio 12G,11955.0,12 GB,1867 MHz,67,https://www.epey.com/ekran-karti/msi-geforce-rtx-3060-gaming-z-trio-12g.html
Asus Phoenix GeForce RTX 3060 12GB GDDR6,9153.72,12 GB,1807 MHz,67,https://www.epey.com/ekran-karti/asus-phoenix-geforce-rtx-3060-12gb-gddr6.html
Asus Phoenix GeForce RTX 3060 V2 12GB GDDR6,9154.14,12 GB,1807 MHz,67,https://www.epey.com/ekran-karti/asus-phoenix-geforce-rtx-3060-v2-12gb-gddr6.html
MSI GeForce RTX 3060 Gaming X Trio 12G,10499.0,12 GB,1852 MHz,66,https://www.epey.com/ekran-karti/msi-geforce-rtx-3060-gaming-x-trio-12g.html
Zotac Gaming GeForce RTX 3060 AMP White Edition,9192.26,12 GB,1867 MHz,66,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-3060-amp-white-edition.html
MSI GeForce RTX 3060 Gaming X 12G,9749.0,12 GB,1837 MHz,66,https://www.epey.com/ekran-karti/msi-geforce-rtx-3060-gaming-x-12g.html
Gigabyte GeForce RTX 3060 Eagle OC 12G,12062.5,12 GB,1807 MHz,66,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3060-eagle-oc-12g.html
Evga GeForce RTX 3060 XC Gaming,13426.0,12 GB,1882 MHz,66,https://www.epey.com/ekran-karti/evga-geforce-rtx-3060-xc-gaming.html
Palit GeForce RTX 3060 Dual,9987.0,12 GB,1777 MHz,66,https://www.epey.com/ekran-karti/palit-geforce-rtx-3060-dual.html
Asus Dual GeForce RTX 3060 OC,10629.0,12 GB,1780 MHz,66,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-3060-oc.html
Gainward GeForce RTX 3060 Ghost,9242.66,12 GB,1777 MHz,66,https://www.epey.com/ekran-karti/gainward-geforce-rtx-3060-ghost.html
MSI GeForce RTX 3060 Ventus 3X 12G OC,11571.0,12 GB,1807 MHz,66,https://www.epey.com/ekran-karti/msi-geforce-rtx-3060-ventus-3x-12g-oc.html
MSI GeForce RTX 3060 Ventus 2X 12G OC,10454.0,12 GB,1807 MHz,66,https://www.epey.com/ekran-karti/msi-geforce-rtx-3060-ventus-2x-12g-oc.html
Zotac Gaming GeForce RTX 3060 Twin Edge OC,10276.0,12 GB,1807 MHz,66,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-3060-twin-edge-oc.html
Galax GeForce RTX 3060 (1-Click OC),9240.0,12 GB,1792 MHz,66,https://www.epey.com/ekran-karti/galax-geforce-rtx-3060-1-click-oc.html
MSI GeForce RTX 2060 Super Gaming,14445.0,8 GB,1650 MHz,61,https://www.epey.com/ekran-karti/msi-geforce-rtx-2060-super-gaming.html
Asus Dual GeForce RTX 2060 OC Edition Evo,9315.07,6 GB,1785 MHz,58,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-2060-oc-edition-evo.html
Asus Dual GeForce RTX 2060 Evo 6GB GDDR6,8996.0,6 GB,1710 MHz,58,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-2060-evo-6gb-gddr6.html
Gigabyte GeForce RTX 2060 D6 6G,7998.99,6 GB,1680 MHz,57,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-2060-d6-6g.html
NVIDIA Quadro RTX 4000,11401.13,8 GB,1545 MHz,57,https://www.epey.com/ekran-karti/nvidia-quadro-rtx-4000.html
Lenovo Quadro RTX 4000,14270.29,8 GB,1545 MHz,57,https://www.epey.com/ekran-karti/lenovo-quadro-rtx-4000.html
PNY Quadro RTX 4000,11194.0,8 GB,1545 MHz,57,https://www.epey.com/ekran-karti/pny-quadro-rtx-4000.html
Palit GeForce RTX 2060 Dual OC,12590.0,6 GB,1725 MHz,57,https://www.epey.com/ekran-karti/palit-geforce-rtx-2060-dual-oc.html
Evga GeForce RTX 2060 XC OC,9714.0,6 GB,1755 MHz,56,https://www.epey.com/ekran-karti/evga-geforce-rtx-2060-xc-oc.html
MSI GeForce RTX 2060 VENTUS 6G OC,8415.12,6 GB,1710 MHz,56,https://www.epey.com/ekran-karti/msi-geforce-rtx-2060-ventus-6g-oc.html
MSI GeForce GTX 1660 Super Gaming X,8638.0,6 GB,1830 MHz,56,https://www.epey.com/ekran-karti/msi-geforce-gtx-1660-super-gaming-x.html
Asus Phoenix GeForce GTX 1660 Super OC,8027.0,6 GB,1830 MHz,56,https://www.epey.com/ekran-karti/asus-phoenix-geforce-gtx-1660-super-oc.html
Inno3D GeForce RTX 2060 Twin X2,8706.95,6 GB,1680 MHz,56,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-2060-twin-x2.html
MSI GeForce GTX 1660 Super Gaming,9455.07,6 GB,1785 MHz,56,https://www.epey.com/ekran-karti/msi-geforce-gtx-1660-super-gaming.html
Gainward Geforce RTX 2060 Ghost,10999.0,6 GB,1680 MHz,56,https://www.epey.com/ekran-karti/gainward-geforce-rtx-2060-ghost.html
Galax GeForce RTX 2060 (1-Click OC),8499.0,6 GB,1695 MHz,56,https://www.epey.com/ekran-karti/galax-geforce-rtx-2060-1-click-oc.html
Gainward GeForce GTX 1660 Super Ghost,8283.35,6 GB,1785 MHz,56,https://www.epey.com/ekran-karti/gainward-geforce-gtx-1660-super-ghost.html
Asus TUF Gaming GeForce GTX 1660 Ti EVO OC,7499.05,6 GB,1845 MHz,56,https://www.epey.com/ekran-karti/asus-tuf-gaming-geforce-gtx-1660-ti-evo-oc.html
Zotac GeForce GTX 1660 Super AMP,8803.8,6 GB,1845 MHz,55,https://www.epey.com/ekran-karti/zotac-geforce-gtx-1660-super-amp.html
Gigabyte GeForce GTX 1660 Super OC 6G,8999.0,6 GB,1830 MHz,55,https://www.epey.com/ekran-karti/gigabyte-geforce-gtx-1660-super-oc-6g.html
