Ürün Adı,Fiyat,Bellek Boyutu,Artırılmış (OC) Frekans,Teknik Puan,Link
MSI GeForce RTX 3080 Gaming Z Trio 10G LHR,20805.0,10 GB,1830 MHz,88,https://www.epey.com/ekran-karti/msi-geforce-rtx-3080-gaming-z-trio-10g-lhr.html
Gigabyte Aorus GeForce RTX 3080 Xtreme 10G,24391.62,10 GB,1905 MHz,87,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-3080-xtreme-10g.html
Gigabyte Aorus GeForce RTX 3080 Master 10G,20469.0,10 GB,1845 MHz,87,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-3080-master-10g.html
Gigabyte GeForce RTX 3080 Gaming OC 10G,20144.99,10 GB,1800 MHz,87,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3080-gaming-oc-10g.html
Gigabyte GeForce RTX 3080 Vision OC 10G,21176.88,10 GB,1800 MHz,87,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3080-vision-oc-10g.html
MSI GeForce RTX 3080 Gaming X Trio 10G,30195.0,10 GB,1815 MHz,87,https://www.epey.com/ekran-karti/msi-geforce-rtx-3080-gaming-x-trio-10g.html
Asus ROG Strix LC Radeon RX 6900 XT,24169.48,16 GB,2525 MHz,87,https://www.epey.com/ekran-karti/asus-rog-strix-lc-radeon-rx-6900-xt.html
Zotac Gaming GeForce RTX 3080 AMP Holo,23558.97,10 GB,1770 MHz,87,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-3080-amp-holo.html
Asus Radeon R5 230 SL 1GD3 L,464.64,1 GB,-,17,https://www.epey.com/ekran-karti/asus-r5-230-sl-1gd3-l.html
Afox Radeon R5 220 2GB DDR3 64bit,460.79,2 GB,-,17,https://www.epey.com/ekran-karti/afox-radeon-r5-220-2gb-ddr3-64bit-afr5220-2048d3l4.html
Afox Radeon R5 220 2GB,441.0,2 GB,-,17,https://www.epey.com/ekran-karti/afox-radeon-r5-220-2gb.html
Seclife Radeon HD 5450,376.35,1 GB,-,17,https://www.epey.com/ekran-karti/seclife-radeon-hd-5450.html
Powergate Radeon HD 6450 2GB,428.36,2 GB,-,17,https://www.epey.com/ekran-karti/powergate-radeon-hd-6450-2gb.html
Afox Radeon R5 220 2GB DDR3 64bit,399.0,2 GB,-,17,https://www.epey.com/ekran-karti/afox-radeon-r5-220-2gb-ddr3-64bit.html
Afox Radeon HD 6450 2GB,456.14,2 GB,-,16,https://www.epey.com/ekran-karti/afox-radeon-hd-6450-2gb.html
Afox Radeon HD 5450 1GB,371.74,1 GB,-,16,https://www.epey.com/ekran-karti/afox-radeon-hd-5450-1gb.html
Seclife Radeon R5 220 2GB,448.88,2 GB,-,16,https://www.epey.com/ekran-karti/seclife-radeon-r5-220-2gb.html
Seclife Radeon R5 220 1GB,364.8,1 GB,-,16,https://www.epey.com/ekran-karti/seclife-radeon-r5-220-1gb.html
Asus EKWB GeForce RTX 3090 24GB GDDR6X,,24 GB,1725 MHz,100,https://www.epey.com/ekran-karti/asus-ekwb-geforce-rtx-3090-24gb-gddr6x.html
NVIDIA RTX A6000,,48 GB,1860 MHz,100,https://www.epey.com/ekran-karti/nvidia-rtx-a6000.html
Asus ROG Strix GeForce RTX 3090 OC,,24 GB,1890 MHz,100,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-3090-oc.html
Gigabyte Aorus GeForce RTX 3090 Xtreme Waterforce 24G,,24 GB,1785 MHz,99,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-3090-xtreme-waterforce-24g.html
Gigabyte Aorus GeForce RTX 3090 Xtreme Waterforce WB 24G,,24 GB,1785 MHz,99,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-3090-xtreme-waterforce-wb-24g.html
Asus TUF Gaming GeForce RTX 3090,,24 GB,1725 MHz,99,https://www.epey.com/ekran-karti/asus-tuf-gaming-geforce-rtx-3090.html
Asus ROG Strix GeForce RTX 3090,,24 GB,1725 MHz,99,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-3090.html
Asus ROG Strix GeForce RTX 3090 White,,24 GB,1725 MHz,99,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-3090-white.html
Galax GeForce RTX 3090 HOF Limited Edition,,24 GB,1875 MHz,99,https://www.epey.com/ekran-karti/galax-geforce-rtx-3090-hof-limited-edition.html
Palit GeForce RTX 3090 GameRock OC,,24 GB,1845 MHz,99,https://www.epey.com/ekran-karti/palit-geforce-rtx-3090-gamerock-oc.html
Gigabyte Aorus GeForce RTX 3090 Master 24G,,24 GB,1785 MHz,98,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-3090-master-24g.html
Evga GeForce RTX 3090 FTW3 Ultra Gaming,,24 GB,1800 MHz,98,https://www.epey.com/ekran-karti/evga-geforce-rtx-3090-ftw3-ultra-gaming.html
Zotac Gaming GeForce RTX 3090 AMP Extreme Holo,,24 GB,1815 MHz,98,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-3090-amp-extreme-holo.html
Inno3D GeForce RTX 3090 iChill X3,,24 GB,1755 MHz,98,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-3090-ichill-x3.html
Inno3D GeForce RTX 3090 iChill X4,,24 GB,1755 MHz,98,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-3090-ichill-x4.html
Zotac Gaming GeForce RTX 3090 AMP Core Holo,,24 GB,1755 MHz,98,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-3090-amp-core-holo.html
Gainward GeForce RTX 3090 Phoenix GS,,24 GB,1725 MHz,98,https://www.epey.com/ekran-karti/gainward-geforce-rtx-3090-phoenix-gs.html
Gigabyte GeForce RTX 3090 Eagle OC 24G,,24 GB,1725 MHz,98,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3090-eagle-oc-24g.html
Palit GeForce RTX 3090 GamingPro OC,,24 GB,1725 MHz,98,https://www.epey.com/ekran-karti/palit-geforce-rtx-3090-gamingpro-oc.html
iGame GeForce RTX 3090 Advanced OC-V,,24 GB,1755 MHz,98,https://www.epey.com/ekran-karti/igame-geforce-rtx-3090-advanced-oc-v.html
MSI GeForce RTX 3090 Gaming Trio 24G,,24 GB,1740 MHz,98,https://www.epey.com/ekran-karti/msi-geforce-rtx-3090-gaming-trio-24g.html
Palit GeForce RTX 3090 GameRock,,24 GB,1740 MHz,98,https://www.epey.com/ekran-karti/palit-geforce-rtx-3090-gamerock.html
Evga GeForce RTX 3090 XC3 Ultra Gaming,,24 GB,1700 MHz,98,https://www.epey.com/ekran-karti/evga-geforce-rtx-3090-xc3-ultra-gaming.html
Galax GeForce RTX 3090 SG (1-Click OC),,24 GB,1710 MHz,98,https://www.epey.com/ekran-karti/galax-geforce-rtx-3090-sg-1-click-oc.html
Gigabyte GeForce RTX 3090 Eagle 24G,,24 GB,1695 MHz,98,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3090-eagle-24g.html
Palit GeForce RTX 3090 GamingPro,,24 GB,1695 MHz,98,https://www.epey.com/ekran-karti/palit-geforce-rtx-3090-gamingpro.html
Zotac Gaming GeForce RTX 3090 Trinity,,24 GB,1695 MHz,98,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-3090-trinity.html
PNY GeForce RTX 3090 24GB XLR8 Gaming Uprising Epic-X,,24 GB,1695 MHz,98,https://www.epey.com/ekran-karti/pny-geforce-rtx-3090-24gb-xlr8-gaming-uprising-epic-x.html
MSI GeForce RTX 3090 Ventus 3X 24G OC,,24 GB,1725 MHz,98,https://www.epey.com/ekran-karti/msi-geforce-rtx-3090-ventus-3x-24g-oc.html
MSI GeForce RTX 3090 Ventus 3X 24G,,24 GB,1695 MHz,98,https://www.epey.com/ekran-karti/msi-geforce-rtx-3090-ventus-3x-24g.html
Gigabyte GeForce RTX 3090 Turbo 24G,,24 GB,1695 MHz,98,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3090-turbo-24g.html
Colorful GeForce RTX 3090 BattleAx,,24 GB,1695 MHz,98,https://www.epey.com/ekran-karti/colorful-geforce-rtx-3090-battleax.html
MSI GeForce RTX 3090 Aero 24G,,24 GB,1695 MHz,98,https://www.epey.com/ekran-karti/msi-geforce-rtx-3090-aero-24g.html
Asus ROG Strix LC GeForce RTX 3080 Ti,,12 GB,1695 MHz,93,https://www.epey.com/ekran-karti/asus-rog-strix-lc-geforce-rtx-3080-ti.html
MSI GeForce RTX 3080 Ti Suprim 12G,,12 GB,1785 MHz,93,https://www.epey.com/ekran-karti/msi-geforce-rtx-3080-ti-suprim-12g.html
Asus TUF Gaming GeForce RTX 3080 Ti V2 OC,,12 GB,1785 MHz,93,https://www.epey.com/ekran-karti/asus-tuf-gaming-geforce-rtx-3080-ti-v2-oc.html
Inno3D GeForce RTX 3080 Ti iChiLL Frostbite,,12 GB,1710 MHz,93,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-3080-ti-ichill-frostbite.html
PowerColor Red Devil Radeon RX 6900 XT 16GB GDDR6,,16 GB,2340 MHz,85,https://www.epey.com/ekran-karti/powercolor-red-devil-radeon-rx-6900-xt-16gb-gddr6.html
PowerColor Red Devil Radeon RX 6900 XT 16GB GDDR6 Limited Edition,,16 GB,2340 MHz,85,https://www.epey.com/ekran-karti/powercolor-red-devil-radeon-rx-6900-xt-16gb-gddr6-limited-edition.html
XFX Speedster MERC 319 Radeon RX 6800 XT Black Gaming,,16 GB,2360 MHz,85,https://www.epey.com/ekran-karti/xfx-speedster-merc-319-radeon-rx-6800-xt-black-gaming.html
ASRock Radeon RX 6800 XT Taichi X 16G OC,,16 GB,2360 MHz,85,https://www.epey.com/ekran-karti/asrock-radeon-rx-6800-xt-taichi-x-16g-oc.html
Gigabyte Aorus Radeon RX 6900 XT Master 16G,,16 GB,2365 MHz,85,https://www.epey.com/ekran-karti/gigabyte-aorus-radeon-rx-6900-xt-master-16g.html
Sapphire Nitro+ Radeon RX 6800 XT 16G GDDR6,,16 GB,2360 MHz,85,https://www.epey.com/ekran-karti/sapphire-nitro-plus-radeon-rx-6800-xt-16g-gddr6.html
Gigabyte Aorus Radeon RX 6800 XT Master 16G,,16 GB,2310 MHz,85,https://www.epey.com/ekran-karti/gigabyte-aorus-radeon-rx-6800-xt-master-16g.html
Asus Radeon RX 6900 XT 16GB GDDR6,,16 GB,2250 MHz,85,https://www.epey.com/ekran-karti/asus-radeon-rx-6900-xt-16gb-gddr6.html
Sapphire Radeon RX 6900 XT Gaming,,16 GB,2250 MHz,85,https://www.epey.com/ekran-karti/sapphire-radeon-rx-6900-xt-gaming.html
XFX Radeon RX 6900 XT 16GB GDDR6,,16 GB,2250 MHz,85,https://www.epey.com/ekran-karti/xfx-amd-radeon-rx-6900-xt-16gb-gddr6.html
MSI Radeon RX 6900 XT 16G,,16 GB,2250 MHz,85,https://www.epey.com/ekran-karti/msi-radeon-rx-6900-xt-16g.html
Biostar Radeon RX 6900 XT 16GB,,16 GB,2250 MHz,84,https://www.epey.com/ekran-karti/biostar-radeon-rx-6900-xt-16gb.html
PowerColor Red Dragon Radeon RX 6800 XT 16GB GDDR6,,16 GB,2310 MHz,84,https://www.epey.com/ekran-karti/powercolor-red-dragon-radeon-rx-6800-xt-16gb-gddr6.html
MSI Radeon RX 6800 XT Gaming Trio 16G,,16 GB,2250 MHz,84,https://www.epey.com/ekran-karti/msi-radeon-rx-6800-xt-gaming-trio-16g.html
XFX Radeon RX 6800 XT,,16 GB,2250 MHz,84,https://www.epey.com/ekran-karti/xfx-radeon-rx-6800-xt.html
Sapphire Pulse Radeon RX 6800 XT,,16 GB,2310 MHz,84,https://www.epey.com/ekran-karti/sapphire-pulse-radeon-rx-6800-xt.html
MSI Radeon RX 6800 XT 16G,,16 GB,2250 MHz,84,https://www.epey.com/ekran-karti/msi-radeon-rx-6800-xt-16g.html
Gigabyte Radeon RX 6800 XT 16G,,16 GB,2250 MHz,84,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-6800-xt-16g.html
ASRock Radeon RX 6800 XT 16G,,16 GB,2250 MHz,84,https://www.epey.com/ekran-karti/asrock-radeon-rx-6800-xt-16g.html
Sapphire Radeon RX 6800 XT,,16 GB,2250 MHz,84,https://www.epey.com/ekran-karti/sapphire-radeon-rx-6800-xt.html
Biostar Radeon RX 6800 XT,,16 GB,2250 MHz,84,https://www.epey.com/ekran-karti/biostar-radeon-rx-6800-xt.html
MSI Radeon VII 16G,,16 GB,1750 MHz,83,https://www.epey.com/ekran-karti/msi-radeon-vii-16g.html
Sapphire Radeon VII 16G HBM2,,16 GB,1750 MHz,83,https://www.epey.com/ekran-karti/sapphire-radeon-vii-16g-hbm2.html
Asus TUF Gaming Radeon RX 6800 OC,,16 GB,2190 MHz,82,https://www.epey.com/ekran-karti/asus-tuf-gaming-radeon-rx-6800-oc.html
XFX Speedster Qick 319 Radeon RX 6800 Black,,16 GB,2190 MHz,81,https://www.epey.com/ekran-karti/xfx-speedster-qick-319-radeon-rx-6800-black.html
PowerColor Fighter Radeon RX 6800 16GB GDDR6,,16 GB,2155 MHz,81,https://www.epey.com/ekran-karti/powercolor-fighter-radeon-rx-6800-16gb-gddr6.html
MSI Radeon RX 6800 16G,,16 GB,2105 MHz,81,https://www.epey.com/ekran-karti/msi-radeon-rx-6800-16g.html
Asus Radeon RX 6800 16GB GDDR6,,16 GB,2105 MHz,81,https://www.epey.com/ekran-karti/asus-radeon-rx-6800-16gb-gddr6.html
Sapphire Nitro+ Radeon RX 6800 16G GDDR6,,16 GB,2190 MHz,81,https://www.epey.com/ekran-karti/sapphire-nitro-plus-radeon-rx-6800-16g-gddr6.html
PowerColor Red Dragon Radeon RX 6800 16GB GDDR6,,16 GB,2170 MHz,81,https://www.epey.com/ekran-karti/powercolor-red-dragon-radeon-rx-6800-16gb-gddr6.html
Sapphire Pulse Radeon RX 6800 Gaming,,16 GB,2170 MHz,81,https://www.epey.com/ekran-karti/sapphire-pulse-radeon-rx-6800-gaming.html
XFX Radeon RX 6800,,16 GB,2105 MHz,81,https://www.epey.com/ekran-karti/xfx-radeon-rx-6800.html
Gigabyte Radeon RX 6800 16G,,16 GB,2105 MHz,81,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-6800-16g.html
Sapphire Radeon RX 6800,,16 GB,2105 MHz,81,https://www.epey.com/ekran-karti/sapphire-radeon-rx-6800.html
MSI GeForce RTX 3070 Ti Suprim 8G,,8 GB,1845 MHz,79,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-ti-suprim-8g.html
Asus TUF Gaming GeForce RTX 3070 Ti,,8 GB,1800 MHz,78,https://www.epey.com/ekran-karti/asus-tuf-gaming-geforce-rtx-3070-ti.html
Palit GeForce 3070 Ti GameRock OC,,8 GB,1845 MHz,78,https://www.epey.com/ekran-karti/palit-geforce-3070-ti-gamerock-oc.html
Inno3D GeForce RTX 3070 Ti iChiLL X3,,8 GB,1830 MHz,78,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-3070-ti-ichill-x3.html
Inno3D GeForce RTX 3070 Ti iChiLL X4,,8 GB,1830 MHz,78,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-3070-ti-ichill-x4.html
Gigabyte GeForce RTX 3070 Ti Vision OC 8G,,8 GB,1830 MHz,78,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3070-ti-vision-oc-8g.html
MSI GeForce RTX 3070 Ti Gaming Trio 8G,,8 GB,1800 MHz,78,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-ti-gaming-trio-8g.html
Gigabyte GeForce RTX 3070 Ti Eagle OC 8G,,8 GB,1800 MHz,78,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3070-ti-eagle-oc-8g.html
Palit GeForce RTX 3070 Ti GamingPro,,8 GB,1770 MHz,77,https://www.epey.com/ekran-karti/palit-geforce-rtx-3070-ti-gamingpro.html
Palit GeForce 3070 Ti GameRock,,8 GB,1770 MHz,77,https://www.epey.com/ekran-karti/palit-geforce-3070-ti-gamerock.html
Zotac Gaming GeForce RTX 3070 Ti Trinity,,8 GB,1770 MHz,77,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-3070-ti-trinity.html
Gigabyte GeForce RTX 3070 Ti Eagle 8G,,8 GB,1770 MHz,77,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3070-ti-eagle-8g.html
Inno3D GeForce RTX 3070 Ti X3 OC,,8 GB,1785 MHz,77,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-3070-ti-x3-oc.html
Inno3D GeForce RTX 3070 Ti X3,,8 GB,1770 MHz,77,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-3070-ti-x3.html
MSI GeForce RTX 3070 Ti Ventus 3X 8G,,8 GB,1770 MHz,77,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-ti-ventus-3x-8g.html
PNY GeForce 3070 Ti 8GB XLR8 Gaming Revel Epic-X RGB Triple Fan,,8 GB,1770 MHz,77,https://www.epey.com/ekran-karti/pny-geforce-3070-ti-8gb-xlr8-gaming-revel-epic-x-rgb-triple-fan.html
ASRock Radeon RX 6700 XT Phantom Gaming D 12GB OC,,12 GB,2622 MHz,77,https://www.epey.com/ekran-karti/asrock-radeon-rx-6700-xt-phantom-gaming-d-12gb-oc.html
XFX Speedster Merc 319 Radeon RX 6700 XT Ultra Gaming,,12 GB,2622 MHz,76,https://www.epey.com/ekran-karti/xfx-speedster-merc-319-radeon-rx-6700-xt-ultra-gaming.html
MSI Radeon RX 6700 XT Gaming 12G,,12 GB,2615 MHz,76,https://www.epey.com/ekran-karti/msi-radeon-rx-6700-xt-gaming-12g.html
PowerColor Red Devil Radeon RX 6700 XT,,12 GB,2622 MHz,76,https://www.epey.com/ekran-karti/powercolor-red-devil-radeon-rx-6700-xt.html
Gigabyte Radeon RX 6700 XT Eagle 12G,,12 GB,2581 MHz,76,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-6700-xt-eagle-12g.html
Gigabyte Radeon RX 6700 XT 12G,,12 GB,2581 MHz,76,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-6700-xt-12g.html
Asus Radeon RX 6700 XT 12GB GDDR6,,12 GB,2581 MHz,76,https://www.epey.com/ekran-karti/asus-radeon-rx-6700-xt-12gb-gddr6.html
Asus Dual Radeon RX 6700 XT 12GB GDDR6,,12 GB,2581 MHz,76,https://www.epey.com/ekran-karti/asus-dual-radeon-rx-6700-xt-12gb-gddr6.html
Sapphire Radeon RX 6700 XT 12G,,12 GB,2581 MHz,76,https://www.epey.com/ekran-karti/sapphire-radeon-rx-6700-xt-12g.html
PowerColor Radeon RX 6700 XT 12GB GDDR6,,12 GB,2581 MHz,76,https://www.epey.com/ekran-karti/powercolor-radeon-rx-6700-xt-12gb-gddr6.html
MSI Radeon RX 6700 XT 12G,,12 GB,2581 MHz,76,https://www.epey.com/ekran-karti/msi-radeon-rx-6700-xt-12g.html
PowerColor Hellhound Radeon RX 6700 XT 12GB GDDR6,,12 GB,2581 MHz,76,https://www.epey.com/ekran-karti/powercolor-hellhound-radeon-rx-6700-xt-12gb-gddr6.html
NVIDIA Titan RTX,,24 GB,1770 MHz,76,https://www.epey.com/ekran-karti/nvidia-titan-rtx.html
Sapphire Pulse Radeon RX 6700 XT,,12 GB,2581 MHz,76,https://www.epey.com/ekran-karti/sapphire-pulse-radeon-rx-6700-xt.html
XFX Speedster Qick 319 Radeon RX 6700 XT Core Gaming,,12 GB,2581 MHz,76,https://www.epey.com/ekran-karti/xfx-speedster-qick-319-radeon-rx-6700-xt-core-gaming.html
Asus EKWB GeForce RTX 3070 8GB GDDR6,,8 GB,1755 MHz,76,https://www.epey.com/ekran-karti/asus-ekwb-geforce-rtx-3070-8gb-gddr6.html
Asus ROG Strix GeForce RTX 3070 OC Edition White,,8 GB,1935 MHz,75,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-3070-oc-edition-white.html
Asus ROG Strix GeForce RTX 3070 OC Edition,,8 GB,1935 MHz,75,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-3070-oc-edition.html
Asus KO GeForce RTX 3070 OC Edition 8GB GDDR6,,8 GB,1845 MHz,75,https://www.epey.com/ekran-karti/asus-ko-geforce-rtx-3070-oc-edition-8gb-gddr6.html
PowerColor Fighter Radeon RX 6700 XT 12GB GDDR6,,12 GB,2581 MHz,75,https://www.epey.com/ekran-karti/powercolor-fighter-radeon-rx-6700-xt-12gb-gddr6.html
MSI GeForce RTX 3070 Suprim 8G,,8 GB,1785 MHz,75,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-suprim-8g.html
iGame GeForce RTX 3070 Ultra OC-V,,8 GB,1770 MHz,75,https://www.epey.com/ekran-karti/igame-geforce-rtx-3070-ultra-oc-v.html
Asus KO GeForce RTX 3070 8GB GDDR6,,8 GB,1755 MHz,75,https://www.epey.com/ekran-karti/asus-ko-geforce-rtx-3070-8gb-gddr6.html
Palit GeForce RTX 3070 GameRock OC,,8 GB,1845 MHz,74,https://www.epey.com/ekran-karti/palit-geforce-rtx-3070-gamerock-oc.html
MSI GeForce RTX 3070 Gaming X Trio,,8 GB,1830 MHz,74,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-gaming-x-trio.html
Inno3D GeForce RTX 3070 iChill X3,,8 GB,1785 MHz,74,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-3070-ichill-x3.html
Palit GeForce RTX 3070 GamingPro OC,,8 GB,1770 MHz,74,https://www.epey.com/ekran-karti/palit-geforce-rtx-3070-gamingpro-oc.html
MSI GeForce RTX 3070 Gaming Trio,,8 GB,1770 MHz,74,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-gaming-trio.html
Galax GeForce RTX 3070 SG (1-Click OC),,8 GB,1740 MHz,74,https://www.epey.com/ekran-karti/galax-geforce-rtx-3070-sg-1-click-oc.html
Palit GeForce RTX 3070 JetStream,,8 GB,1725 MHz,74,https://www.epey.com/ekran-karti/palit-geforce-rtx-3070-jetstream.html
Gigabyte GeForce RTX 3070 Eagle 8G,,8 GB,1725 MHz,74,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3070-eagle-8g.html
Palit GeForce RTX 3070 GameRock,,8 GB,1725 MHz,74,https://www.epey.com/ekran-karti/palit-geforce-rtx-3070-gamerock.html
PNY GeForce RTX 3070 8GB XLR8 Gaming Revel Epic-X RGB Triple Fan,,8 GB,1725 MHz,74,https://www.epey.com/ekran-karti/pny-geforce-rtx-3070-8gb-xlr8-gaming-revel-epic-x-rgb-triple-fan.html
Zotac Gaming GeForce RTX 3070 Twin Edge,,8 GB,1725 MHz,74,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-3070-twin-edge.html
MSI GeForce RTX 3070 Ventus 2X OC,,8 GB,1755 MHz,74,https://www.epey.com/ekran-karti/msi-geforce-rtx-3070-ventus-2x-oc.html
Inno3D GeForce RTX 3070 Twin X2 OC,,8 GB,1740 MHz,73,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-3070-twin-x2-oc.html
Galax GeForce RTX 3070 (1-Click OC),,8 GB,1740 MHz,73,https://www.epey.com/ekran-karti/galax-geforce-rtx-3070-1-click-oc.html
Evga GeForce RTX 3070 XC3 Black Gaming,,8 GB,1725 MHz,73,https://www.epey.com/ekran-karti/evga-geforce-rtx-3070-xc3-black-gaming.html
Gigabyte Aorus GeForce RTX 2080 Ti Xtreme Waterforce 11G,,11 GB,1770 MHz,72,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-2080-ti-xtreme-waterforce-11g.html
Evga GeForce RTX 2080 Ti FTW3 Ultra Hybrid Gaming,,11 GB,1755 MHz,72,https://www.epey.com/ekran-karti/evga-geforce-rtx-2080-ti-ftw3-ultra-hybrid-gaming.html
Gigabyte Aorus GeForce 2080 Ti Xtreme Waterforce WB 11G,,11 GB,1770 MHz,71,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-2080-ti-xtreme-waterforce-wb-11g.html
Asus KO GeForce RTX 3060 Ti OC,,8 GB,1785 MHz,71,https://www.epey.com/ekran-karti/asus-ko-geforce-rtx-3060-ti-oc.html
Asus ROG Strix GeForce RTX 2080 Ti,,11 GB,1560 MHz,71,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-2080-ti.html
MSI GeForce RTX 2080 Ti Sea Hawk EK X,,11 GB,1755 MHz,71,https://www.epey.com/ekran-karti/msi-geforce-rtx-2080-ti-sea-hawk-ek-x.html
Galax GeForce RTX 3080 Ti HOF OC Lab Edition,,12 GB,1815 MHz,92,https://www.epey.com/ekran-karti/galax-geforce-rtx-3080-ti-hof-oc-lab-edition.html
Gigabyte Aorus GeForce RTX 3080 Ti Master 12G,,12 GB,1770 MHz,92,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-3080-ti-master-12g.html
Zotac Gaming GeForce RTX 3080 Ti AMP Extreme Holo,,12 GB,1785 MHz,92,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-3080-ti-amp-extreme-holo.html
Gainward GeForce RTX 3080 Ti Phantom GS,,12 GB,1725 MHz,92,https://www.epey.com/ekran-karti/gainward-geforce-rtx-3080-ti-phantom-gs.html
Inno3D GeForce RTX 3080 Ti iChiLL X3,,12 GB,1710 MHz,92,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-3080-ti-ichill-x3.html
Inno3D GeForce RTX 3080 Ti iChiLL X4,,12 GB,1710 MHz,92,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-3080-ti-ichill-x4.html
Palit GeForce RTX 3080 Ti GameRock OC,,12 GB,1725 MHz,92,https://www.epey.com/ekran-karti/palit-geforce-rtx-3080-ti-gamerock-oc.html
MSI GeForce RTX 3080 Ti Gaming Trio 12G,,12 GB,1695 MHz,92,https://www.epey.com/ekran-karti/msi-geforce-rtx-3080-ti-gaming-trio-12g.html
Gigabyte GeForce RTX 3080 Ti Eagle 12G,,12 GB,1665 MHz,92,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-3080-ti-eagle-12g.html
Gainward GeForce RTX 3080 Ti Phoenix,,12 GB,1665 MHz,92,https://www.epey.com/ekran-karti/gainward-geforce-rtx-3080-ti-phoenix.html
Zotac Gaming GeForce RTX 3080 Ti Trinity,,12 GB,1665 MHz,92,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-3080-ti-trinity.html
PNY GeForce RTX 3080 Ti 12GB XLR8 Gaming Revel Epic-X RGB Triple Fan,,12 GB,1665 MHz,92,https://www.epey.com/ekran-karti/pny-geforce-rtx-3080-ti-12gb-xlr8-gaming-revel-epic-x-rgb-triple-fan.html
Palit GeForce RTX 3080 Ti GameRock,,12 GB,1665 MHz,92,https://www.epey.com/ekran-karti/palit-geforce-rtx-3080-ti-gamerock.html
Inno3D GeForce RTX 3080 Ti X3 OC,,12 GB,1680 MHz,91,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-3080-ti-x3-oc.html
Inno3D GeForce RTX 3080 Ti X3,,12 GB,1665 MHz,91,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-3080-ti-x3.html
PNY GeForce RTX 3080 Ti 12GB XLR8 Uprising Edition,,12 GB,1665 MHz,91,https://www.epey.com/ekran-karti/pny-geforce-rtx-3080-ti-12gb-xlr8-uprising-edition.html
MSI GeForce RTX 3080 Suprim 10G,,10 GB,1830 MHz,90,https://www.epey.com/ekran-karti/msi-geforce-rtx-3080-suprim-10g.html
Asus EKWB GeForce RTX 3080 10GB GDDR6X,,10 GB,1740 MHz,89,https://www.epey.com/ekran-karti/asus-ekwb-geforce-rtx-3080-10gb-gddr6x.html
