Ürün Adı,Fiyat,Çekirdek,Temel Frekans,Çıkış Yılı,Teknik Puan,Link
Intel Core i5-10600KA Avengers Edition,2921.2,6 ,4.1 GHz,2020 ,33.0,https://www.epey.com/islemci/intel-core-i5-10600ka-avengers-edition.html
Intel Core i5-10600K,2621.76,6 ,4.1 GHz,2020 ,33.0,https://www.epey.com/islemci/intel-core-i5-10600k.html
Intel Core i5-10600KF,2355.56,6 ,4.1 GHz,2020 ,33.0,https://www.epey.com/islemci/intel-core-i5-10600kf.html
Intel Core i7-9700K,3360.0,8 ,3.6 GHz,2018 ,33.0,https://www.epey.com/islemci/intel-core-i7-9700k.html
AMD Ryzen Threadripper Pro 3995WX,66755.8,64 ,2.7 GHz,2020 ,100.0,https://www.epey.com/islemci/amd-ryzen-threadripper-pro-3995wx.html
AMD Ryzen Threadripper 3970X,21410.23,32 ,3.7 GHz,2019 ,72.0,https://www.epey.com/islemci/amd-ryzen-threadripper-3970x.html
AMD Ryzen Threadripper Pro 3975WX,32586.31,32 ,3.5 GHz,2020 ,70.0,https://www.epey.com/islemci/amd-ryzen-threadripper-pro-3975wx.html
AMD Ryzen Threadripper 3960X,14958.94,24 ,3.8 GHz,2019 ,64.0,https://www.epey.com/islemci/amd-ryzen-threadripper-3960x.html
AMD Ryzen 9 5950X,7599.0,16 ,3.4 GHz,2020 ,54.0,https://www.epey.com/islemci/amd-ryzen-9-5950x.html
AMD Ryzen Threadripper Pro 3955WX,12920.16,16 ,3.9 GHz,2020 ,51.0,https://www.epey.com/islemci/amd-ryzen-threadripper-pro-3955wx.html
AMD Ryzen 9 5900X,5499.0,12 ,3.7 GHz,2020 ,49.0,https://www.epey.com/islemci/amd-ryzen-9-5900x.html
AMD Ryzen 9 3900XT,8299.0,12 ,3.8 GHz,2020 ,48.0,https://www.epey.com/islemci/amd-ryzen-9-3900xt.html
Intel Core i9-10980XE,12539.0,18 ,3 GHz,2019 ,47.0,https://www.epey.com/islemci/intel-core-i9-10980xe.html
AMD Ryzen 9 3900X,5361.96,12 ,3.8 GHz,2019 ,46.0,https://www.epey.com/islemci/amd-ryzen-9-3900x.html
Intel Core i9-10940X,9516.16,14 ,3.3 GHz,2019 ,44.0,https://www.epey.com/islemci/intel-core-i9-10940x.html
AMD Ryzen 7 5800X,4266.24,8 ,3.8 GHz,2020 ,42.0,https://www.epey.com/islemci/amd-ryzen-7-5800x.html
Intel Core i9-10920X,8214.1,12 ,3.5 GHz,2019 ,42.0,https://www.epey.com/islemci/intel-core-i9-10920x.html
AMD Ryzen 7 3800X,3149.0,8 ,3.9 GHz,2019 ,41.0,https://www.epey.com/islemci/amd-ryzen-7-3800x.html
AMD Ryzen 7 3800XT,4203.07,8 ,3.9 GHz,2020 ,41.0,https://www.epey.com/islemci/amd-ryzen-7-3800xt.html
AMD Ryzen 7 5700G,3649.0,8 ,3.8 GHz,2021 ,40.0,https://www.epey.com/islemci/amd-ryzen-7-5700g.html
Intel Core i9-10900K,5737.41,10 ,3.7 GHz,2020 ,40.0,https://www.epey.com/islemci/intel-core-i9-10900k.html
AMD Ryzen 7 3700X,3045.95,8 ,3.6 GHz,2019 ,40.0,https://www.epey.com/islemci/amd-ryzen-7-3700x.html
