Ürün Adı,Fiyat,Çekirdek,Temel Frekans,Çıkış Yılı,Teknik Puan,Link
AMD Ryzen 3 3200G,2350.0,4 ,3.6 GHz,2019 ,28.0,https://www.epey.com/islemci/amd-ryzen-3-3200g.html
Intel Core i5-8500,1894.28,6 ,3 GHz,2018 ,28.0,https://www.epey.com/islemci/intel-core-i5-8500.html
AMD Ryzen 7 5800,,8 ,3.4 GHz,2021 ,41.0,https://www.epey.com/islemci/amd-ryzen-7-5800.html
AMD Ryzen 7 Pro 3700,,8 ,3.6 GHz,2019 ,41.0,https://www.epey.com/islemci/amd-ryzen-7-pro-3700.html
Intel Core i9-10900KA Avengers Edition,,10 ,3.7 GHz,2020 ,40.0,https://www.epey.com/islemci/intel-core-i9-10900ka-avengers-edition.html
Intel Core i9-7920X,,12 ,2.9 GHz,2017 ,39.0,https://www.epey.com/islemci/intel-core-i9-7920x.html
Intel Core i9-9900X,,10 ,3.5 GHz,2018 ,39.0,https://www.epey.com/islemci/intel-core-i9-9900x.html
AMD Ryzen Threadripper 2920X,,12 ,3.5 GHz,2018 ,39.0,https://www.epey.com/islemci/amd-ryzen-threadripper-2920x.html
Intel Core i9-9820X,,10 ,3.3 GHz,2018 ,38.0,https://www.epey.com/islemci/intel-core-i9-9820x.html
AMD Ryzen 7 Pro 5750GE,,8 ,3.2 GHz,2021 ,38.0,https://www.epey.com/islemci/amd-ryzen-7-pro-5750ge.html
Intel Core i9-7900X,,10 ,3.3 GHz,2017 ,38.0,https://www.epey.com/islemci/intel-core-i9-7900x.html
AMD Ryzen 7 4700G,,8 ,3.6 GHz,2020 ,38.0,https://www.epey.com/islemci/amd-ryzen-7-4700g.html
Intel Core i9-9900KS,,8 ,4 GHz,2018 ,37.0,https://www.epey.com/islemci/intel-core-i9-9900ks.html
AMD Ryzen 5 5600GE,,6 ,3.4 GHz,2021 ,37.0,https://www.epey.com/islemci/amd-ryzen-5600ge.html
Intel Core i9-10910,,10 ,3.6 GHz,2020 ,37.0,https://www.epey.com/islemci/intel-core-i9-10910.html
Intel Core i7-9800X,,8 ,3.8 GHz,2018 ,36.0,https://www.epey.com/islemci/intel-core-i7-9800x.html
Intel Core i7-7820X,,8 ,3.6 GHz,2017 ,36.0,https://www.epey.com/islemci/intel-core-i7-7820x.html
AMD Ryzen 5 Pro 4650G,,6 ,3.7 GHz,2020 ,35.0,https://www.epey.com/islemci/amd-ryzen-5-pro-4650g.html
AMD Ryzen 5 4600G,,6 ,3.7 GHz,2020 ,35.0,https://www.epey.com/islemci/amd-ryzen-5-4600g.html
Intel Core i7-8086K,,6 ,4 GHz,2018 ,34.0,https://www.epey.com/islemci/intel-core-i7-8086k.html
AMD Ryzen 7 1800X,,8 ,3.6 GHz,2017 ,34.0,https://www.epey.com/islemci/amd-ryzen-7-1800x.html
AMD Ryzen 3 3300X,,4 ,3.8 GHz,2020 ,33.0,https://www.epey.com/islemci/amd-ryzen-3-3300x.html
AMD Ryzen 7 2700E,,8 ,2.8 GHz,2019 ,33.0,https://www.epey.com/islemci/amd-ryzen-7-2700e.html
Intel Core i7-6950X,,10 ,3 GHz,2016 ,33.0,https://www.epey.com/islemci/intel-core-i7-6950x.html
AMD Ryzen 7 1700,,8 ,3 GHz,2017 ,32.0,https://www.epey.com/islemci/amd-ryzen-7-1700.html
AMD Ryzen 3 Pro 4350G,,4 ,3.8 GHz,2020 ,31.0,https://www.epey.com/islemci/amd-ryzen-3-pro-4350g.html
Intel Core i7-7800X,,6 ,3.5 GHz,2017 ,31.0,https://www.epey.com/islemci/intel-core-i7-7800x.html
Intel Core i7-6900K,,8 ,3.2 GHz,2016 ,31.0,https://www.epey.com/islemci/intel-core-i7-6900k.html
Intel Core i7-10700T,,8 ,2 GHz,2020 ,31.0,https://www.epey.com/islemci/intel-core-i7-10700t.html
Intel Core i7-7740X,,4 ,4.3 GHz,2017 ,31.0,https://www.epey.com/islemci/intel-core-i7-7740x.html
Intel Core i7-7700K,,4 ,4.2 GHz,2017 ,31.0,https://www.epey.com/islemci/intel-core-i7-7700k.html
AMD Ryzen 3 Pro 4350GE,,4 ,3.5 GHz,2020 ,30.0,https://www.epey.com/islemci/amd-ryzen-3-pro-4350ge.html
AMD Ryzen 5 Pro 3400G,,4 ,3.7 GHz,2019 ,30.0,https://www.epey.com/islemci/amd-ryzen-5-pro-3400g.html
AMD Ryzen 5 3400G,,4 ,3.7 GHz,2019 ,30.0,https://www.epey.com/islemci/amd-ryzen-5-3400g.html
Intel Core i5-9600,,6 ,3.1 GHz,2019 ,30.0,https://www.epey.com/islemci/intel-core-i5-9600.html
Intel Core i7-5960X,,8 ,3 GHz,2014 ,30.0,https://www.epey.com/islemci/intel-core-i7-5960x.html
Intel Core i7-9700T,,8 ,2 GHz,2019 ,30.0,https://www.epey.com/islemci/intel-core-i7-9700t.html
Intel Core i7-6850K,,6 ,3.6 GHz,2016 ,29.0,https://www.epey.com/islemci/intel-core-i7-6850k.html
AMD Ryzen 5 2500X,,4 ,3.6 GHz,2018 ,29.0,https://www.epey.com/islemci/amd-ryzen-5-2500x.html
AMD Ryzen 5 2400G,,4 ,3.6 GHz,2018 ,29.0,https://www.epey.com/islemci/amd-ryzen-5-2400g.html
AMD Ryzen 5 Pro 3400GE,,4 ,3.3 GHz,2019 ,29.0,https://www.epey.com/islemci/amd-ryzen-5-pro-3400ge.html
AMD Ryzen 5 1500X,,4 ,3.5 GHz,2017 ,29.0,https://www.epey.com/islemci/amd-ryzen-5-1500x.html
Intel Core i5-10600T,,6 ,2.4 GHz,2020 ,29.0,https://www.epey.com/islemci/intel-core-i5-10600t.html
Intel Core i5-8600,,6 ,3.1 GHz,2018 ,29.0,https://www.epey.com/islemci/intel-core-i5-8600.html
Intel Core i3-9350KF,,4 ,4 GHz,2019 ,29.0,https://www.epey.com/islemci/intel-core-i3-9350kf.html
Intel Core i3-9350K,,4 ,4 GHz,2019 ,29.0,https://www.epey.com/islemci/intel-core-i3-9350k.html
Intel Core i7-5930K,,6 ,3.5 GHz,2014 ,28.0,https://www.epey.com/islemci/intel-core-i7-5930k.html
AMD Ryzen 3 Pro 3200G,,4 ,3.6 GHz,2019 ,28.0,https://www.epey.com/islemci/amd-ryzen-3-pro-3200g.html
AMD Ryzen 3 2300X,,4 ,3.5 GHz,2018 ,28.0,https://www.epey.com/islemci/amd-ryzen-3-2300x.html
Intel Core i5-7640X,,4 ,4 GHz,2017 ,28.0,https://www.epey.com/islemci/intel-core-i5-7640x.html
Intel Xeon Silver 4208,,8 ,2.1 GHz,2019 ,28.0,https://www.epey.com/islemci/intel-xeon-silver-4208.html
AMD Ryzen 3 Pro 3200GE,,4 ,3.3 GHz,2019 ,28.0,https://www.epey.com/islemci/amd-ryzen-3-pro-3200ge.html
Intel Core i5-7600K,,4 ,3.8 GHz,2017 ,28.0,https://www.epey.com/islemci/intel-core-i5-7600k.html
Intel Core i3-9320,,4 ,3.7 GHz,2019 ,28.0,https://www.epey.com/islemci/intel-core-i3-9320.html
Intel Core i3-9300,,4 ,3.7 GHz,2019 ,28.0,https://www.epey.com/islemci/intel-core-i3-9300.html
AMD FX-8350,,8 ,4 GHz,2012 ,28.0,https://www.epey.com/islemci/amd-fx-8350.html
AMD Ryzen 5 Pro 3350GE,,4 ,3.3 GHz,2020 ,28.0,https://www.epey.com/islemci/amd-ryzen-5-pro-3350ge.html
Intel Core i7-4790K,,4 ,4 GHz,2014 ,27.0,https://www.epey.com/islemci/intel-core-i7-4790k.html
Intel Core i5-10400T,,6 ,2 GHz,2020 ,27.0,https://www.epey.com/islemci/intel-core-i5-10400t.html
Intel Core i5-9500T,,6 ,2.2 GHz,2019 ,27.0,https://www.epey.com/islemci/intel-core-i5-9500t.html
Intel Core i5-7600,,4 ,3.5 GHz,2017 ,26.0,https://www.epey.com/islemci/intel-core-i5-7600.html
Intel Core i3-10100T,,4 ,3 GHz,2020 ,26.0,https://www.epey.com/islemci/intel-core-i3-10100t.html
Intel Core i3-9300T,,4 ,3.2 GHz,2019 ,26.0,https://www.epey.com/islemci/intel-core-i3-9300t.html
AMD FX-6350,,6 ,3.9 GHz,2013 ,26.0,https://www.epey.com/islemci/amd-fx-6350.html
Intel Core i3-3225,510.48,2 ,3.3 GHz,2012 ,14.0,https://www.epey.com/islemci/intel-core-i3-3225.html
Intel Pentium G3220,245.0,2 ,3 GHz,2013 ,14.0,https://www.epey.com/islemci/intel-pentium-g3220.html
Intel Pentium G2120,299.0,2 ,3.1 GHz,2012 ,14.0,https://www.epey.com/islemci/intel-pentium-g2120.html
Intel Core i3-2100,204.9,2 ,3.1 GHz,2013 ,14.0,https://www.epey.com/islemci/intel-core-i3-2100.html
Intel Pentium G2030,112.2,2 ,3 GHz,2013 ,14.0,https://www.epey.com/islemci/intel-pentium-g2030.html
Intel Core 2 Quad Q9400,209.0,4 ,2.66 GHz,2008 ,14.0,https://www.epey.com/islemci/intel-core-2-quad-q9400.html
Intel Core i3-540,139.9,2 ,3.06 GHz,2010 ,14.0,https://www.epey.com/islemci/intel-core-i3-540.html
Intel Pentium G2020,471.88,2 ,2.9 GHz,2013 ,14.0,https://www.epey.com/islemci/intel-pentium-g2020.html
Intel Pentium G645,319.99,2 ,2.9 GHz,2013 ,13.0,https://www.epey.com/islemci/intel-pentium-g645.html
Intel Celeron G1610,45.33,2 ,2.6 GHz,2013 ,13.0,https://www.epey.com/islemci/intel-celeron-g1610.html
Intel Pentium G840,80.0,2 ,2.8 GHz,2011 ,13.0,https://www.epey.com/islemci/intel-pentium-g840.html
Intel Pentium G630,366.69,2 ,2.7 GHz,2011 ,12.0,https://www.epey.com/islemci/intel-pentium-g630.html
AMD Phenom II X4 955 (125W),319.99,4 ,3.2 GHz,2009 ,12.0,https://www.epey.com/islemci/amd-phenom-ii-x4-955-125w.html
Intel Pentium G620,366.69,2 ,2.6 GHz,2011 ,12.0,https://www.epey.com/islemci/intel-pentium-g620.html
Intel Pentium E6500,260.0,2 ,2.93 GHz,2008 ,12.0,https://www.epey.com/islemci/intel-pentium-e6500.html
Intel Core i9-12900KF,8009.19,16 ,3.2 GHz,2021 ,,https://www.epey.com/islemci/intel-core-i9-12900kf.html
AMD Ryzen Threadripper 3990X,,64 ,2.9 GHz,2020 ,98.0,https://www.epey.com/islemci/amd-ryzen-threadripper-3990x.html
AMD Ryzen Threadripper 2990WX,,32 ,3 GHz,2018 ,53.0,https://www.epey.com/islemci/amd-ryzen-threadripper-2990wx.html
AMD Ryzen 9 3950X,,16 ,3.5 GHz,2019 ,49.0,https://www.epey.com/islemci/amd-ryzen-9-3950x.html
AMD Ryzen 9 5900,,12 ,3 GHz,2021 ,47.0,https://www.epey.com/islemci/amd-ryzen-9-5900.html
AMD Ryzen Threadripper 2970WX,,24 ,3 GHz,2018 ,47.0,https://www.epey.com/islemci/amd-ryzen-threadripper-2970wx.html
Intel Core i9-9980XE,,18 ,3 GHz,2018 ,47.0,https://www.epey.com/islemci/intel-core-i9-9980xe.html
AMD Ryzen 9 Pro 3900,,12 ,3.1 GHz,2019 ,46.0,https://www.epey.com/islemci/amd-ryzen-9-pro-3900.html
Intel Core i9-9960X,,16 ,3.1 GHz,2018 ,45.0,https://www.epey.com/islemci/intel-core-i9-9960x.html
Intel Core i9-7980XE,,18 ,2.6 GHz,2017 ,44.0,https://www.epey.com/islemci/intel-core-i9-7980xe.html
AMD Ryzen Threadripper 2950X,,16 ,3.5 GHz,2018 ,44.0,https://www.epey.com/islemci/amd-ryzen-threadripper-2950x.html
Intel Core i9-9940X,,14 ,3.3 GHz,2018 ,43.0,https://www.epey.com/islemci/intel-core-i9-9940x.html
AMD Ryzen Threadripper 1950X,,16 ,3.4 GHz,2017 ,43.0,https://www.epey.com/islemci/amd-ryzen-threadripper-1950x.html
Intel Core i9-7960X,,16 ,2.8 GHz,2017 ,43.0,https://www.epey.com/islemci/intel-core-i9-7960x.html
Intel Core i9-9920X,,12 ,3.5 GHz,2018 ,42.0,https://www.epey.com/islemci/intel-core-i9-9920x.html
Intel Core i9-7940X,,14 ,3.1 GHz,2017 ,41.0,https://www.epey.com/islemci/intel-core-i9-7940x.html
Intel Core i5-9500F,2154.24,6 ,3 GHz,2019 ,28.0,https://www.epey.com/islemci/intel-core-i5-9500f.html
AMD Ryzen 5 Pro 3350G,1736.3,4 ,3.6 GHz,2020 ,28.0,https://www.epey.com/islemci/amd-ryzen-5-pro-3350g.html
AMD FX-9590,2839.8,8 ,4.7 GHz,2013 ,28.0,https://www.epey.com/islemci/amd-fx-9590.html
Intel Core i5-9400,1924.79,6 ,2.9 GHz,2019 ,28.0,https://www.epey.com/islemci/intel-core-i5-9400.html
Intel Core i3-10105F,911.04,4 ,3.7 GHz,2021 ,28.0,https://www.epey.com/islemci/intel-core-i3-10105f.html
Intel Core i7-7700,2769.0,4 ,3.6 GHz,2017 ,28.0,https://www.epey.com/islemci/intel-core-i7-7700.html
Intel Core i3-10100,1362.55,4 ,3.6 GHz,2020 ,28.0,https://www.epey.com/islemci/intel-core-i3-10100.html
Intel Core i5-10500T,2724.69,6 ,2.3 GHz,2020 ,28.0,https://www.epey.com/islemci/intel-core-i5-10500t.html
Intel Core i5-8400,2350.0,6 ,2.8 GHz,2017 ,28.0,https://www.epey.com/islemci/intel-core-i5-8400.html
Intel Core i3-10100F,884.16,4 ,3.6 GHz,2020 ,28.0,https://www.epey.com/islemci/intel-core-i3-10100f.html
AMD FX-9370,2999.0,8 ,4.4 GHz,2013 ,28.0,https://www.epey.com/islemci/amd-fx-9370.html
AMD Ryzen 5 1400,1707.0,4 ,3.2 GHz,2017 ,27.0,https://www.epey.com/islemci/amd-ryzen-5-1400.html
AMD Ryzen 3 1300X,1334.88,4 ,3.5 GHz,2017 ,27.0,https://www.epey.com/islemci/amd-ryzen-3-1300x.html
AMD Ryzen 3 2200G,1543.81,4 ,3.5 GHz,2018 ,27.0,https://www.epey.com/islemci/amd-ryzen-3-2200g.html
Intel Core i3-9100,1712.9,4 ,3.6 GHz,2019 ,27.0,https://www.epey.com/islemci/intel-core-i3-9100.html
Intel Core i7-6700,2113.35,4 ,3.4 GHz,2015 ,27.0,https://www.epey.com/islemci/intel-core-i7-6700.html
Intel Core i7-7700T,2670.0,4 ,2.9 GHz,2017 ,26.0,https://www.epey.com/islemci/intel-core-i7-7700t.html
AMD Ryzen 3 1200 12nm,798.71,4 ,3.1 GHz,2020 ,26.0,https://www.epey.com/islemci/amd-ryzen-3-1200-12nm.html
Intel Core i5-6600K,2222.43,4 ,3.5 GHz,2015 ,26.0,https://www.epey.com/islemci/intel-core-i5-6600k.html
Intel Core i3-9100F,1233.79,4 ,3.6 GHz,2019 ,26.0,https://www.epey.com/islemci/intel-core-i3-9100f.html
