Ürün Adı,Fiyat,Kategori,Silindir Hacmi,Beygir Gücü (bg),Teknik Puan,Link
KTM 250 EXC,,Enduro,249 cc,-,22.0,https://www.epey.com/motosiklet/ktm-250-exc.html
KTM 250 EXC SIX DAYS,,Enduro,249 cc,-,22.0,https://www.epey.com/motosiklet/ktm-250-exc-six-days.html
Kymco AGILITY 200i,,Scooter,163 cc,10.9 ,22.0,https://www.epey.com/motosiklet/kymco-agility-200i.html
Kanuni BRETON 125,,Commuter,124 cc,11.3 ,22.0,https://www.epey.com/motosiklet/kanuni-breton-125.html
Asya Swift-R 170,,Touring,170 cc,14.2 ,22.0,https://www.epey.com/motosiklet/asya-swift-r-170.html
Bisan ATLAS CGR 125cc,,Touring,124.1 cc,9.8 ,22.0,https://www.epey.com/motosiklet/bisan-atlas-cgr-125cc.html
Yuki YK 125-7D Apollo,,Touring,124 cc,10.7 ,22.0,https://www.epey.com/motosiklet/yuki-yk-125-7d-apollo.html
Yamaha NMAX 125 ABS,,Scooter,125 cc,12 ,22.0,https://www.epey.com/motosiklet/yamaha-nmax-125-abs.html
Kuba KB150 - 25,,Chopper,149 cc,11.5 ,22.0,https://www.epey.com/motosiklet/kuba-kb150-25.html
Asya Legend Wind 150,,Touring,170 cc,14.2 ,22.0,https://www.epey.com/motosiklet/asya-legend-wind-150.html
Bisan TOPRAK WRC 125cc,,Touring,124.1 cc,8.7 ,22.0,https://www.epey.com/motosiklet/bisan-toprak-wrc-125cc.html
Kuba BLACK CAT,,Cross,149 cc,11.2 ,22.0,https://www.epey.com/motosiklet/kuba-black-cat.html
Vespa 946,,Scooter,124 cc,12.0 ,22.0,https://www.epey.com/motosiklet/vespa-946.html
Asya Ultra 150,,Touring,149 cc,11.9 ,22.0,https://www.epey.com/motosiklet/asya-ultra-150.html
Kanuni Ronny S 150,,Scooter,149 cc,8.9 ,21.0,https://www.epey.com/motosiklet/kanuni-ronny-s-150.html
SYM Symphony ST 200i,,Scooter,169 cc,11.8 ,21.0,https://www.epey.com/motosiklet/sym-symphony-st-200i.html
Hero Glamour 125 CC 9.2 HP,,Commuter,125 cc,9.2 ,21.0,https://www.epey.com/motosiklet/hero-glamour-125-cc-9-2-hp.html
Husqvarna FS 450,,Racing,449.9 cc,-,21.0,https://www.epey.com/motosiklet/husqvarna-fs-450.html
Falcon Comfort 180,,Touring,149 cc,11.6 ,21.0,https://www.epey.com/motosiklet/falcon-comfort-180.html
Kawasaki KX250F,,Cross,249 cc,-,21.0,https://www.epey.com/motosiklet/kawasaki-kx250f.html
Bisan YAREN BSX 125cc,,Touring,124.1 cc,8.7 ,21.0,https://www.epey.com/motosiklet/bisan-yaren-bsx-125cc.html
Bisan YAREN 125T,,Touring,124.1 cc,8.7 ,21.0,https://www.epey.com/motosiklet/bisan-yaren-125t.html
Mondial Vulture i 125,,Touring,124.0 cc,-,21.0,https://www.epey.com/motosiklet/mondial-vulture-i-125.html
Suzuki RM-Z250,,Cross,249 cc,-,21.0,https://www.epey.com/motosiklet/suzuki-rm-z250.html
Mondial 150 Argent,,Scooter,150 cc,8.8 ,21.0,https://www.epey.com/motosiklet/mondial-150-argent.html
Mondial 150 Mash,,Scooter,150 cc,8.7 ,21.0,https://www.epey.com/motosiklet/mondial-150-mash.html
Mondial 100 MG Prince,,Touring,97 cc,9.1 ,21.0,https://www.epey.com/motosiklet/mondial-100-mg-prince.html
Yuki YK 100-2A Apollo,,Touring,97 cc,9.1 ,21.0,https://www.epey.com/motosiklet/yuki-yk-100-2a-apollo.html
Honda PCX 125,,Scooter,125 cc,11.7 ,21.0,https://www.epey.com/motosiklet/honda-pcx-125.html
RKS Cafe 152,,Chopper,150 cc,11.80 ,21.0,https://www.epey.com/motosiklet/rks-cafe-152.html
Mondial 150 ZNX,,Scooter,151.1 cc,6.6 ,21.0,https://www.epey.com/motosiklet/150-znx.html
Bisan TOPRAK WRC 100cc,,Touring,97.2 cc,7.6 ,21.0,https://www.epey.com/motosiklet/bisan-toprak-wrc-100cc.html
Salcano SB 150,,Touring,145 cc,11.0 ,21.0,https://www.epey.com/motosiklet/salcano-sb-150.html
Yuki YB150 Jumbo,,Scooter,149 cc,8.04 ,21.0,https://www.epey.com/motosiklet/yuki-yb150-jumbo.html
Lifan TRAVELLER 150,,Scooter,149.6 cc,9.3 ,21.0,https://www.epey.com/motosiklet/lifan-traveller-150.html
Falcon Wonder 150,,Commuter,149 cc,13 ,21.0,https://www.epey.com/motosiklet/falcon-wonder-150.html
Lifan PONY 100,,Cross,99.3 cc,7.7 ,21.0,https://www.epey.com/motosiklet/lifan-pony-100.html
SYM Fiddle III 200i,,Scooter,169 cc,11.8 ,20.0,https://www.epey.com/motosiklet/sym-fiddle-iii-200i.html
KTM 350 SX‑F,,Enduro,349.7 cc,-,20.0,https://www.epey.com/motosiklet/ktm-350-sxf.html
Yuki YK 150T-3 Adonis,,Scooter,144.6 cc,9.5 ,20.0,https://www.epey.com/motosiklet/yuki-yk-150t-3-adonis.html
Lifan LION 100,,Touring,98 cc,8.0 ,20.0,https://www.epey.com/motosiklet/lifan-lion-100.html
Dorado Corvus,,-,244 cc,13.4 ,20.0,https://www.epey.com/motosiklet/dorado-corvus.html
KTM 200 EXC,,Enduro,193 cc,-,20.0,https://www.epey.com/motosiklet/ktm-200-exc.html
Yuki YK150T-2 Magic,,Scooter,149.6 cc,9.5 ,20.0,https://www.epey.com/motosiklet/yuki-yk150t-2-magic.html
Honda MSX 125,,Naked,124.9 cc,9.8 ,20.0,https://www.epey.com/motosiklet/honda-msx-125.html
Vespa Primavera,,Scooter,154.8 cc,12.7 ,20.0,https://www.epey.com/motosiklet/vespa-primavera.html
Kymco AGILITY 125,,Scooter,125 cc,9.2 ,20.0,https://www.epey.com/motosiklet/kymco-agility-125.html
Daelim B-Bone,,Scooter,124 cc,11.5 ,20.0,https://www.epey.com/motosiklet/daelim-b-bone.html
Salcano Hunter,,Touring,138 cc,10.9 ,20.0,https://www.epey.com/motosiklet/salcano-hunter.html
Bisan ATLAS CGR 100,,Touring,97.2 cc,7.0 ,20.0,https://www.epey.com/motosiklet/bisan-atlas-cgr-100.html
Yuki Drag 200,,Touring,199 cc,12.46 ,20.0,https://www.epey.com/motosiklet/yuki-drag-200.html
Bisan YAREN BSX 100cc,,Touring,97.2 cc,7.0 ,20.0,https://www.epey.com/motosiklet/bisan-yaren-bsx-100cc.html
Bisan YAREN 100T,,Touring,97.2 cc,7.0 ,20.0,https://www.epey.com/motosiklet/bisan-yaren-100t.html
Kuba ÇITA 180-R Gold,,Klasik,189 cc,13.07 ,20.0,https://www.epey.com/motosiklet/kuba-cita-180-r-gold.html
Bajaj Pulsar NS 125,,Naked,124.4 cc,-,20.0,https://www.epey.com/motosiklet/bajaj-pulsar-ns-125.html
Bisan NYSA 150,,Scooter,149.6 cc,8.5 ,20.0,https://www.epey.com/motosiklet/bisan-nysa-150.html
Lifan GLINT 100,,Touring,99.3 cc,7.7 ,20.0,https://www.epey.com/motosiklet/lifan-glint-100.html
Salcano Attack,,Touring,145 cc,11.0 ,19.0,https://www.epey.com/motosiklet/salcano-attack.html
KTM 250 EXC‑F,,Enduro,249.91 cc,-,19.0,https://www.epey.com/motosiklet/ktm-250-excf.html
Kymco X-Town 125i,,Scooter,125 cc,-,19.0,https://www.epey.com/motosiklet/kymco-x-town-125i.html
Kymco PEOPLE ONE 125i,,Scooter,124 cc,9.3 ,19.0,https://www.epey.com/motosiklet/kymco-people-one-125i.html
Suzuki VAN VAN 200,,-,199 cc,-,19.0,https://www.epey.com/motosiklet/suzuki-van-van-200.html
Mondial 125 Ardour,,Scooter,124.6 cc,8.0 ,19.0,https://www.epey.com/motosiklet/mondial-125-ardour.html
Bisan TEOS 125,,Scooter,124.6 cc,7.6 ,19.0,https://www.epey.com/motosiklet/bisan-teos-125.html
Kanuni CS 125,,Scooter,124.5 cc,8.1 ,19.0,https://www.epey.com/motosiklet/kanuni-cs-125.html
Salcano Wolf,,Touring,124 cc,10.0 ,19.0,https://www.epey.com/motosiklet/salcano-wolf.html
Yuki YK-180M,,Touring,179 cc,12.0 ,19.0,https://www.epey.com/motosiklet/yuki-yk-180m.html
Salcano Runner,,Touring,147 cc,11.5 ,19.0,https://www.epey.com/motosiklet/salcano-runner.html
Falcon Crazy 125,,Commuter,124 cc,10.5 ,19.0,https://www.epey.com/motosiklet/falcon-crazy-125.html
Yamaha Cygnus X,,Scooter,125 cc,10.9 ,19.0,https://www.epey.com/motosiklet/yamaha-cygnus-x.html
Yamaha Crypton 115,,Commuter,114 cc,8.2 ,19.0,https://www.epey.com/motosiklet/yamaha-crypton-115.html
Yuki YB100-22 Jumbo,,Scooter,99 cc,9.5 ,19.0,https://www.epey.com/motosiklet/yuki-yb100-22-jumbo.html
Yuki FORZA 100,,Touring,99 cc,11.4 ,19.0,https://www.epey.com/motosiklet/yuki-forza-100.html
Yuki YK 125-7 Rex,,Touring,124 cc,10.7 ,19.0,https://www.epey.com/motosiklet/yuki-yk-125-7-rex.html
Honda CB 125 ACE,,Commuter,125 cc,8.8 ,19.0,https://www.epey.com/motosiklet/cb-125-ace.html
Honda Fizy,,Scooter,125 cc,9.2 ,19.0,https://www.epey.com/motosiklet/fizy.html
Mondial X-Treme Maxx 200,,Cross,197 cc,-,19.0,https://www.epey.com/motosiklet/mondial-x-treme-maxx-200.html
Yuki YK-100M,,Touring,97 cc,-,19.0,https://www.epey.com/motosiklet/yuki-yk-100m.html
Piaggio Liberty 150,,Scooter,150 cc,11.9 ,19.0,https://www.epey.com/motosiklet/piaggio-liberty-150.html
Kanuni RS125,,Scooter,124.6 cc,8.1 ,19.0,https://www.epey.com/motosiklet/kanuni-rs125.html
Lifan Dragon 125,,Touring,124 cc,9.3 ,19.0,https://www.epey.com/motosiklet/lifan-dragon-125.html
Falcon Sport 100,,Touring,97.8 cc,9.4 ,19.0,https://www.epey.com/motosiklet/falcon-sport-100.html
MotoLux ROSSI 125,,Scooter,125 cc,7.1 ,19.0,https://www.epey.com/motosiklet/motolux-rossi-125.html
Mondial 100 Masti X,,Touring,97 cc,9.1 ,19.0,https://www.epey.com/motosiklet/mondial-100-masti-x.html
Mondial 100 Masti,,Touring,97 cc,9.1 ,19.0,https://www.epey.com/motosiklet/mondial-100-masti.html
SYM Fiddle III 125,,Scooter,124.6 cc,9.7 ,19.0,https://www.epey.com/motosiklet/sym-fiddle-iii-125.html
Kuba CARGO,,Scooter,130 cc,8.9 ,19.0,https://www.epey.com/motosiklet/kuba-cargo.html
RKS Pesaro 125,,Scooter,125 cc,8.04 ,18.0,https://www.epey.com/motosiklet/rks-pesaro-125.html
Falcon Runner 125,,Commuter,124 cc,9.7 ,18.0,https://www.epey.com/motosiklet/falcon-runner-125.html
Hero DASH-LX,,Scooter,110.9 cc,8.5 ,18.0,https://www.epey.com/motosiklet/hero-dash-lx.html
Kuba Pars,,Touring,150.05 cc,11.4 ,18.0,https://www.epey.com/motosiklet/kuba-pars.html
Hero DASH-VX,,Scooter,110.9 cc,8.5 ,18.0,https://www.epey.com/motosiklet/hero-dash-vx.html
SYM Crox 125,,Scooter,124.6 cc,8.7 ,18.0,https://www.epey.com/motosiklet/sym-crox-125.html
Hero DUET-LX,,Scooter,110.9 cc,8.5 ,18.0,https://www.epey.com/motosiklet/hero-duet-lx.html
Lifan TAY 100,,Cub,97.2 cc,7.5 ,18.0,https://www.epey.com/motosiklet/lifan-tay-100.html
Lifan TAY 100 (L),,Cub,97.2 cc,7.5 ,18.0,https://www.epey.com/motosiklet/lifan-tay-100-l.html
Falcon Supper Attack 100,,Commuter,97.8 cc,9.4 ,18.0,https://www.epey.com/motosiklet/falcon-supper-attack-100.html
Yamaha YBR 125,,Commuter,124 cc,10.0 ,18.0,https://www.epey.com/motosiklet/yamaha-ybr-125.html
Yamaha BW's 125,,Scooter,125 cc,8.9 ,18.0,https://www.epey.com/motosiklet/yamaha-bws-125.html
Yuki LX100-TLA Attact,,Cub,99 cc,8.7 ,18.0,https://www.epey.com/motosiklet/yuki-lx100-tla-attact.html
Yamaha Crypton,,Commuter,110 cc,6.9 ,17.0,https://www.epey.com/motosiklet/yamaha-crypton.html
Kuba STRIKE 150,,Touring,148 cc,12.2 ,17.0,https://www.epey.com/motosiklet/kuba-strike-150.html
Yuki ZN-150T-27 Retro,,Scooter,149 cc,8.04 ,17.0,https://www.epey.com/motosiklet/yuki-zn-150t-27-retro.html
Bisan CEYLAN 100cc Full Otomatik,,Cub,97 cc,5.7 ,17.0,https://www.epey.com/motosiklet/bisan-ceylan-100cc-full-otomatik.html
Yamaha YS125,,Commuter,125 cc,-,17.0,https://www.epey.com/motosiklet/yamaha-ys125.html
Mondial 125 ZNU,,Scooter,124.6 cc,8.7 ,17.0,https://www.epey.com/motosiklet/mondial-125-znu.html
Kuba ÇITA 150R,,Klasik,149 cc,11.2 ,17.0,https://www.epey.com/motosiklet/kuba-cita-150r.html
Suzuki VanVan 125,,Naked,125 cc,-,17.0,https://www.epey.com/motosiklet/suzuki-vanvan-125.html
Asya Shark 150,,Scooter,149 cc,8.2 ,17.0,https://www.epey.com/motosiklet/asya-shark-150.html
KTM 250 SX‑F,,Enduro,249 cc,-,17.0,https://www.epey.com/motosiklet/ktm-250-sxf.html
Kanuni Ruby S,,Scooter,99.8 cc,6.2 ,17.0,https://www.epey.com/motosiklet/kanuni-ruby-s.html
Suzuki Burgman 200,,Scooter,200 cc,-,17.0,https://www.epey.com/motosiklet/suzuki-burgman-200.html
Bisan SARDES 125,,Scooter,124.6 cc,8.8 ,17.0,https://www.epey.com/motosiklet/bisan-sardes-125.html
Salcano NOVA,,Scooter,149.6 cc,7.0 ,17.0,https://www.epey.com/motosiklet/salcano-nova.html
Kymco SUPER 8 125,,Scooter,125 cc,9.3 ,16.0,https://www.epey.com/motosiklet/kymco-super-8-125.html
Bisan AUTOCUB 100,,Cub,97 cc,5.7 ,16.0,https://www.epey.com/motosiklet/bisan-autocub-100.html
Salcano TIGER SPORT S,,Touring,124 cc,7.0 ,16.0,https://www.epey.com/motosiklet/salcano-tiger-sport-s.html
Vespa PX 150,,Scooter,150 cc,8.2 ,16.0,https://www.epey.com/motosiklet/vespa-px-150.html
Suzuki GSX-R125,,-,124 cc,-,16.0,https://www.epey.com/motosiklet/suzuki-gsx-r125.html
Yamaha Cygnus L,,Scooter,102 cc,6.7 ,16.0,https://www.epey.com/motosiklet/yamaha-cygnus-l.html
Yamaha Delight 115cc,,Scooter,114 cc,-,16.0,https://www.epey.com/motosiklet/yamaha-delight-115cc.html
Mondial UAG 100,,Commuter,97 cc,-,16.0,https://www.epey.com/motosiklet/mondial-uag-100.html
Honda Spacy Alpha,,Scooter,108 cc,8.7 ,16.0,https://www.epey.com/motosiklet/honda-spacy-alpha.html
Honda CB125F,,Commuter,125 cc,-,16.0,https://www.epey.com/motosiklet/honda-cb125f.html
Yamaha Delight 125cc,,Scooter,125 cc,-,16.0,https://www.epey.com/motosiklet/yamaha-delight-125cc.html
Asya Nostalji 125,,Scooter,124 cc,8.0 ,16.0,https://www.epey.com/motosiklet/asya-nostalji-125.html
Mondial 100 MFM,,Cub,97 cc,6.4 ,16.0,https://www.epey.com/motosiklet/mondial-100-mfm.html
Kuba KEE100,,Cub,97 cc,6.7 ,16.0,https://www.epey.com/motosiklet/kuba-kee100.html
Lifan Moped,,Cub,49 cc,2.9 ,16.0,https://www.epey.com/motosiklet/lifan-moped.html
Salcano TIGER SPEED 100,,Touring,97 cc,7.0 ,16.0,https://www.epey.com/motosiklet/salcano-tiger-speed-100.html
Honda Spacy,,Scooter,108 cc,7.7 ,18.0,https://www.epey.com/motosiklet/honda-spacy.html
Regal Raptor Klasik 150,,Klasik,149 cc,12.0 ,18.0,https://www.epey.com/motosiklet/regal-raptor-klasik-150.html
Suzuki Burgman 200 ABS,,Scooter,200 cc,-,18.0,https://www.epey.com/motosiklet/suzuki-burgman-200-abs.html
Asya SkyMax-Pro,,-,124 cc,6.7 ,18.0,https://www.epey.com/motosiklet/asya-skymax-pro.html
Bisan ECO CUB 100PRO,,Cub,97 cc,7.1 ,18.0,https://www.epey.com/motosiklet/bisan-eco-cub-100pro.html
Mondial RX1i Evo,,Enduro,125 cc,-,18.0,https://www.epey.com/motosiklet/mondial-rx1i-evo.html
Bisan ROADSTAR Cub 100,,Cub,97 cc,7.0 ,18.0,https://www.epey.com/motosiklet/bisan-roadstar-cub-100.html
Kanuni Explorer,,Scooter,149 cc,8.8 ,18.0,https://www.epey.com/motosiklet/kanuni-explorer.html
Kanuni CUP 100S,,Cub,97 cc,6.1 ,18.0,https://www.epey.com/motosiklet/kanuni-cup-100s.html
Mondial 100 MFH,,Cub,97 cc,6.4 ,18.0,https://www.epey.com/motosiklet/mondial-100-mfh.html
SYM Mio 100,,Scooter,99 cc,7.7 ,18.0,https://www.epey.com/motosiklet/sym-mio-100.html
Mondial 125 NT Turkuaz,,Scooter,125 cc,7.5 ,18.0,https://www.epey.com/motosiklet/mondial-125-nt-turkuaz.html
Kanuni Breton S100,,Commuter,97 cc,7.4 ,18.0,https://www.epey.com/motosiklet/kanuni-breton-s100.html
Bisan YENİ TROY 100,,Scooter,97 cc,4.7 ,18.0,https://www.epey.com/motosiklet/bisan-yeni-troy-100.html
Salcano TIGER SPEED 125,,Touring,124 cc,9.8 ,18.0,https://www.epey.com/motosiklet/salcano-tiger-speed-125.html
KTM 125 EXC,,Enduro,124.8 cc,-,18.0,https://www.epey.com/motosiklet/ktm-125-exc.html
Mondial 125 Aggressive,,Touring,119.7 cc,8.0 ,17.0,https://www.epey.com/motosiklet/mondial-125-aggressive.html
Kuba RAVAN,,Touring,137 cc,10.8 ,17.0,https://www.epey.com/motosiklet/kuba-ravan.html
Kral KR150-G Kaptan,,Cub,149 cc,-,17.0,https://www.epey.com/motosiklet/kral-kr150-g-kaptan.html
Mondial 100 SFS SPORT,,Cub,97 cc,5.8 ,17.0,https://www.epey.com/motosiklet/mondial-100-sfs-sport.html
Yuki ZN-150T-E5 Legend,,Scooter,149 cc,8.04 ,17.0,https://www.epey.com/motosiklet/yuki-zn-150t-e5-legend.html
