Ürün Adı,Fiyat,Etkin Piksel,Video Çözünürlüğü,Çıkış Yılı,Teknik Puan,Link
Panasonic Lumix G90,,20 MP,Ultra HD,2019 ,71,https://www.epey.com/aynasiz-fotograf-makinesi/panasonic-lumix-g90.html
Canon EOS M6 Mark II,,32 MP,Ultra HD,2019 ,71,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m6-mark-ii.html
Nikon D750 16-28mm,,24 MP,Full HD,2015 ,70,https://www.epey.com/dslr-fotograf-makinesi/nikon-d750-16-28mm.html
Fujifilm X-E4 27mm,,26 MP,-,2021 ,70,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-e4-27mm.html
Nikon D750 24-120mm,,24 MP,Full HD,2015 ,70,https://www.epey.com/dslr-fotograf-makinesi/nikon-d750-24-120mm.html
Nikon D750 24-70mm,,24 MP,Full HD,2015 ,70,https://www.epey.com/dslr-fotograf-makinesi/nikon-d750-24-70mm.html
Nikon D750 24-85mm,,24 MP,Full HD,2015 ,70,https://www.epey.com/dslr-fotograf-makinesi/nikon-d750-24-85mm.html
Canon EOS-1D X,,18 MP,Full HD,2012 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-1d-x.html
Canon EOS 5DS R 24-105mm,,50 MP,Full HD,2015 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-5ds-r-24-105mm.html
Nikon D810A,,36 MP,Full HD,2015 ,69,https://www.epey.com/dslr-fotograf-makinesi/nikon-d810a.html
Canon EOS 5DS R 24-70mm,,50 MP,Full HD,2015 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-5ds-r-24-70mm.html
Canon EOS 77D 18-200m,,24 MP,Full HD,2017 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-77d-18-200m.html
Canon EOS 77D 24-105mm,,24 MP,Full HD,2017 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-77d-24-105mm.html
Canon EOS 77D 70-300mm,,24 MP,Full HD,2017 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-77d-70-300mm.html
Canon EOS 77D 24-70mm,,24 MP,Full HD,2017 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-77d-24-70mm.html
Canon EOS 77D 11-16mm,,24 MP,Full HD,2017 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-77d-11-16mm.html
Canon EOS 77D 55-250mm,,24 MP,Full HD,2017 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-77d-55-250mm.html
Canon EOS 5DS R,,50 MP,Full HD,2015 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-5ds-r.html
Sony A6300 18-105mm,,24 MP,Ultra HD,2016 ,68,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6300-18-105-mm.html
Sony A6300 16-50mm,,24 MP,Ultra HD,2016 ,68,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6300-16-50mm.html
Sony ZV-1 Vlogger Kit,,20 MP,Ultra HD,2020 ,68,https://www.epey.com/kompakt-fotograf-makinesi/sony-zv-1-vlogger-kit.html
Sony A6300,,24 MP,Ultra HD,2016 ,68,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6300.html
Nikon D810 24-70mm,,36 MP,Full HD,2014 ,68,https://www.epey.com/dslr-fotograf-makinesi/nikon-d810-24-70mm.html
Nikon D810 24-85mm,,36 MP,Full HD,2014 ,68,https://www.epey.com/dslr-fotograf-makinesi/nikon-d810-24-85mm.html
Nikon D810 16-28mm,,36 MP,Full HD,2014 ,68,https://www.epey.com/dslr-fotograf-makinesi/nikon-d810-16-28mm.html
Panasonic DC-GX9,,20 MP,Ultra HD,2018 ,68,https://www.epey.com/aynasiz-fotograf-makinesi/panasonic-dc-gx9.html
Fujifilm X-Pro2 23mm,,24 MP,Ultra HD,2016 ,68,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-pro2-23mm.html
Canon EOS 5D Mark III 24-70mm,,22 MP,Full HD,2012 ,67,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-5d-mark-iii-24-70mm.html
Sony ZV-E10,7808.5,24 MP,Ultra HD,2021 ,70,https://www.epey.com/aynasiz-fotograf-makinesi/sony-zv-e10.html
Fujifilm X-E4,7499.0,26 MP,-,2021 ,70,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-e4.html
Nikon D750,14500.0,24 MP,Full HD,2015 ,70,https://www.epey.com/dslr-fotograf-makinesi/nikon-d750.html
Olympus OM-D E-M1 Mark II,11639.03,20 MP,4K,2016 ,69,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-om-d-e-m1-mark-ii.html
Canon EOS 77D 18-135mm,10956.54,24 MP,Full HD,2017 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-77d-18-135mm.html
Canon EOS 77D 18-55mm,9398.12,24 MP,Full HD,2017 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-77d-18-55mm.html
Canon PowerShot G1 X Mark III,13953.12,24 MP,Full HD,2017 ,69,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-g1-x-mark-iii.html
Sony A7 II 28-70mm,14549.03,24 MP,Full HD,2015 ,69,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7-ii-28-70mm.html
Sony RX100 VA,8685.37,20 MP,Ultra HD,2018 ,68,https://www.epey.com/kompakt-fotograf-makinesi/sony-rx100-va.html
Sony DSC-RX100 V,7249.0,20 MP,Ultra HD,2016 ,68,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-rx100-v.html
Sony DSC-RX10 IV,17999.0,20 MP,Ultra HD,2017 ,68,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-rx10-iv.html
Sony A7 II,11889.12,24 MP,Full HD,2015 ,68,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7-ii.html
Sony ZV-1,7401.64,20 MP,Ultra HD,2020 ,68,https://www.epey.com/kompakt-fotograf-makinesi/sony-zv-1.html
Canon EOS 77D,9316.04,24 MP,Full HD,2017 ,68,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-77d.html
Nikon D810 24-120mm,32614.2,36 MP,Full HD,2014 ,68,https://www.epey.com/dslr-fotograf-makinesi/nikon-d810-24-120mm.html
Panasonic Lumix FZ1000,8222.62,20 MP,Ultra HD,2014 ,68,https://www.epey.com/kompakt-fotograf-makinesi/panasonic-lumix-fz1000.html
Nikon D810,21619.06,36 MP,Full HD,2014 ,68,https://www.epey.com/dslr-fotograf-makinesi/nikon-d810.html
Canon EOS 5D Mark III 24-105mm,22435.0,22 MP,Full HD,2012 ,67,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-5d-mark-iii-24-105mm.html
Sony HX99,6262.78,18 MP,Ultra HD,2018 ,67,https://www.epey.com/kompakt-fotograf-makinesi/sony-hx99.html
Nikon Coolpix P950,10629.93,16 MP,Ultra HD,2020 ,67,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-p950.html
Canon EOS 5D Mark III,16919.06,22 MP,Full HD,2012 ,67,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-5d-mark-iii.html
Canon EOS 200D 18-135mm,7520.0,24 MP,Full HD,2017 ,66,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-200d-18-135mm.html
Canon EOS 200D 18-55mm,5637.18,24 MP,Full HD,2017 ,66,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-200d-18-55mm.html
Nikon D5600 70-300m,10166.0,24 MP,Full HD,2017 ,66,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5600-70-300m.html
Panasonic Lumix DC-LX100 II,10778.57,17 MP,Ultra HD,2018 ,66,https://www.epey.com/kompakt-fotograf-makinesi/panasonic-lumix-dc-lx100-ii.html
Canon EOS 5DS,23500.0,50 MP,Full HD,2015 ,66,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-5ds.html
Nikon D5600 18-140mm,8866.99,24 MP,Full HD,2017 ,66,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5600-18-140mm.html
Nikon D5600 18-55mm,6748.15,24 MP,Full HD,2017 ,66,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5600-18-55mm.html
Canon EOS 800D 18-135mm,10666.0,24 MP,Full HD,2017 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-800d-18-135mm.html
Canon EOS 800D 18-55mm,7519.06,24 MP,Full HD,2017 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-800d-18-55mm.html
Canon EOS 6D 24-105mm,18144.0,20 MP,Full HD,2012 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-6d-24-105mm.html
Canon EOS 80D 18-135mm,11810.54,24 MP,Full HD,2016 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-80d-18-135mm.html
Canon EOS 80D 18-55mm,10809.06,24 MP,Full HD,2016 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-80d-18-55mm.html
Canon EOS 7D Mark II 18-135mm,14844.0,20 MP,Full HD,2014 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-7d-mark-ii-18-135mm.html
Canon EOS 6D,9776.0,20 MP,Full HD,2012 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-6d.html
Nikon D610 24-120mm,20679.06,24 MP,Full HD,2014 ,65,https://www.epey.com/dslr-fotograf-makinesi/nikon-d610-24-120mm.html
Nikon Coolpix P1000,12555.0,16 MP,Ultra HD,2018 ,65,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-p1000.html
Canon EOS 80D,9588.0,24 MP,Full HD,2016 ,64,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-80d.html
Canon EOS 7D Mark II,11279.06,20 MP,Full HD,2014 ,64,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-7d-mark-ii.html
Nikon D610,9399.06,24 MP,Full HD,2014 ,64,https://www.epey.com/dslr-fotograf-makinesi/nikon-d610.html
Olympus OM-D E-M10 Mark III 14-42mm,5538.0,16 MP,Ultra HD,2017 ,63,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-om-d-e-m10-mark-iii-14-42.html
Canon PowerShot SX70 HS,7499.0,20 MP,Ultra HD,2018 ,63,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx70-hs.html
Olympus OM-D E-M10 Mark III,4849.03,16 MP,Ultra HD,2017 ,63,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-om-d-e-m10-mark-iii.html
Panasonic Lumix FZ2000,10736.56,20 MP,-,2016 ,62,https://www.epey.com/kompakt-fotograf-makinesi/panasonic-lumix-fz2000.html
Sony DSC-RX10 III,13648.95,20 MP,Ultra HD,2016 ,62,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-rx10-iii.html
Canon PowerShot SX740 HS,5451.06,20 MP,Ultra HD,2018 ,62,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx740-hs.html
Canon EOS M5 15-45mm,6109.06,24 MP,Full HD,2016 ,61,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m5-15-45mm.html
Canon EOS 750D 18-135mm,8272.0,24 MP,Full HD,2015 ,61,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-750d-18-135mm.html
Canon EOS 750D 18-55mm,5927.0,24 MP,Full HD,2015 ,61,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-750d-18-55mm.html
Canon EOS M5,5388.0,24 MP,Full HD,2016 ,61,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m5.html
Nikon D5,,20 MP,4K,2016 ,89,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5.html
Panasonic LUMIX S1RM,,47 MP,Ultra HD,2019 ,88,https://www.epey.com/aynasiz-fotograf-makinesi/panasonic-lumix-s1rm.html
Nikon D850 16-28mm,,45 MP,Ultra HD,2017 ,87,https://www.epey.com/dslr-fotograf-makinesi/nikon-d850-16-28mm.html
Nikon D850 24-70mm,,45 MP,Ultra HD,2017 ,87,https://www.epey.com/dslr-fotograf-makinesi/nikon-d850-24-70mm.html
Panasonic LUMIX S1R,,47 MP,Ultra HD,2019 ,87,https://www.epey.com/aynasiz-fotograf-makinesi/panasonic-lumix-s1r.html
Nikon D850 24-85mm,,45 MP,Ultra HD,2017 ,87,https://www.epey.com/dslr-fotograf-makinesi/nikon-d850-24-85mm.html
Nikon D780,,24 MP,Ultra HD,2020 ,87,https://www.epey.com/dslr-fotograf-makinesi/nikon-d780.html
Panasonic LUMIX S1,,24 MP,Ultra HD,2019 ,87,https://www.epey.com/aynasiz-fotograf-makinesi/panasonic-lumix-s1.html
Canon EOS Ra,,30 MP,Ultra HD,2019 ,86,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-ra.html
Nikon Z 6,,24 MP,Ultra HD,2018 ,86,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-z-6.html
Canon EOS 5D Mark IV 24-70mm,,30 MP,4K,2016 ,85,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-5d-mark-iv-24-70mm.html
Canon EOS 5D Mark IV 16-28mm,,30 MP,4K,2016 ,85,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-5d-mark-iv-16-28mm.html
Canon EOS 6D Mark II 24-70mm,,26 MP,Full HD,2017 ,82,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-6d-mark-ii-24-70mm.html
Canon EOS 6D Mark II 16-28mm,,26 MP,Full HD,2017 ,82,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-6d-mark-ii-16-28mm.html
Panasonic Lumix S5 20-60mm,,24 MP,Ultra HD,2020 ,82,https://www.epey.com/aynasiz-fotograf-makinesi/panasonic-lumix-s5-20-60mm.html
Nikon Z5,,24 MP,Ultra HD,2020 ,82,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-z-5.html
Panasonic Lumix S5,,24 MP,Ultra HD,2020 ,81,https://www.epey.com/aynasiz-fotograf-makinesi/panasonic-lumix-s5.html
Sony A99 II,,42 MP,Ultra HD,2016 ,79,https://www.epey.com/dslr-fotograf-makinesi/sony-a99-ii.html
Sony a6400 18-105mm,,24 MP,Ultra HD,2019 ,79,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6400-18-105mm.html
Sony A6500 18-105mm,,24 MP,Ultra HD,2016 ,79,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6500-18-105mm.html
Canon EOS 90D 18-55mm,,32 MP,Ultra HD,2019 ,79,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-90d-18-55mm.html
Sony A6500 16-50mm,,24 MP,Ultra HD,2016 ,79,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6500-16-50mm.html
Nikon D500 70-300mm,,20 MP,Ultra HD,2016 ,79,https://www.epey.com/dslr-fotograf-makinesi/nikon-d500-70-300mm.html
Nikon D500 24-70mm,,20 MP,Ultra HD,2016 ,79,https://www.epey.com/dslr-fotograf-makinesi/nikon-d500-24-70mm.html
Nikon D500 16-28mm,,20 MP,Ultra HD,2016 ,79,https://www.epey.com/dslr-fotograf-makinesi/nikon-d500-16-28mm.html
Sony A6500,,24 MP,Ultra HD,2016 ,78,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6500.html
Nikon D500 18-300mm,,20 MP,Ultra HD,2016 ,78,https://www.epey.com/dslr-fotograf-makinesi/nikon-d500-18-300mm.html
Nikon D500 18-200mm,,20 MP,Ultra HD,2016 ,78,https://www.epey.com/dslr-fotograf-makinesi/nikon-d500-18-200mm.html
Sony A7R II 24-70mm,,42 MP,Ultra HD,2015 ,78,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7r-ii-24-70mm.html
Nikon D500 28-300mm,,20 MP,Ultra HD,2016 ,78,https://www.epey.com/dslr-fotograf-makinesi/nikon-d500-28-300mm.html
Sony A7R II 16-35mm,,42 MP,Ultra HD,2015 ,78,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7r-ii-16-35mm.html
Nikon D500 18-140mm,,20 MP,Ultra HD,2016 ,78,https://www.epey.com/dslr-fotograf-makinesi/nikon-d500-18-140mm.html
Nikon D500 16-80mm,,20 MP,Ultra HD,2016 ,78,https://www.epey.com/dslr-fotograf-makinesi/nikon-d500-16-80mm.html
Nikon D500 18-55mm,,20 MP,Ultra HD,2016 ,78,https://www.epey.com/dslr-fotograf-makinesi/nikon-d500-18-55mm.html
Nikon D500 24-85mm,,20 MP,Ultra HD,2016 ,78,https://www.epey.com/dslr-fotograf-makinesi/nikon-d500-24-85mm.html
Nikon D500 11-16mm,,20 MP,Ultra HD,2016 ,78,https://www.epey.com/dslr-fotograf-makinesi/nikon-d500-11-16mm.html
Fujifilm GFX 50R 32-64mm,,51 MP,Full HD,2018 ,78,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-gfx-50r-32-64mm.html
Nikon D500,,20 MP,Ultra HD,2016 ,78,https://www.epey.com/dslr-fotograf-makinesi/nikon-d500.html
Panasonic Lumix G9 12-60mm,,20 MP,Ultra HD,2017 ,78,https://www.epey.com/aynasiz-fotograf-makinesi/panasonic-lumix-g9-12-60mm.html
Fujifilm GFX 50R 63mm,,51 MP,Full HD,2018 ,78,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-gfx-50r-63mm.html
Fujifilm GFX 50R 45mm,,51 MP,Full HD,2018 ,78,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-gfx-50r-45mm.html
Sony a6100 55-210mm,,24 MP,Ultra HD,2019 ,77,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6100-55-210mm.html
Nikon D7500 18-200mm,,20 MP,Ultra HD,2017 ,77,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7500-18-200mm.html
Nikon D7500 70-300mm,,20 MP,Ultra HD,2017 ,77,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7500-70-300mm.html
Nikon D7500 11-16mm,,20 MP,Ultra HD,2017 ,77,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7500-11-16mm.html
Fujifilm GFX 50S 32-64mm,,51 MP,Full HD,2017 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-gfx-50s-32-64mm.html
Nikon D7500 18-105mm,,20 MP,Ultra HD,2017 ,76,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7500-18-105mm.html
Sony a6100,,24 MP,Ultra HD,2019 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6100.html
Nikon D7500 18-55mm,,20 MP,Ultra HD,2017 ,76,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7500-18-55mm.html
Fujifilm GFX 50S 45mm,,51 MP,Full HD,2017 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-gfx-50s-45mm.html
Nikon D3300,3388.0,24 MP,Full HD,2014 ,52,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3300.html
Nikon D5200 18-55mm,4063.99,24 MP,Full HD,2013 ,52,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5200-18-55mm.html
Nikon D3300 18-55mm,3324.78,24 MP,Full HD,2014 ,52,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3300-18-55mm.html
Nikon D7100 18-140mm,10066.0,24 MP,Full HD,2013 ,51,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7100-18-140mm.html
Nikon D7100 18-105mm,9400.0,24 MP,Full HD,2013 ,51,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7100-18-105mm.html
Canon EOS 600D 18-55mm,3888.0,18 MP,Full HD,2011 ,51,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-600d-18-55mm.html
Nikon D7100,8271.06,24 MP,Full HD,2013 ,51,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7100.html
Canon EOS 60D 18-135mm,6775.0,18 MP,Full HD,2010 ,51,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-60d-18-135mm.html
Nikon D3100 18-55mm,2914.0,14 MP,Full HD,2010 ,50,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3100-18-55mm.html
Canon EOS 60D,13371.92,18 MP,Full HD,2010 ,50,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-60d.html
Ricoh WG-6,3895.1,20 MP,Ultra HD,2019 ,49,https://www.epey.com/kompakt-fotograf-makinesi/ricoh-wg-6.html
Canon EOS 1200D 18-55mm,3096.9,18 MP,Full HD,2014 ,49,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-1200d-18-55mm.html
Canon PowerShot SX540 HS,4135.06,20 MP,Full HD,2016 ,48,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx540-hs.html
Canon PowerShot SX720 HS,4275.0,20 MP,Full HD,2016 ,47,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx720-hs.html
Nikon Coolpix B700,7169.04,20 MP,Ultra HD,2016 ,47,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-b700.html
Canon PowerShot SX710 HS,3971.6,20 MP,Full HD,2015 ,47,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx710-hs.html
Nikon Coolpix W300,4888.0,16 MP,Ultra HD,2017 ,46,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-w300.html
Kodak PIXPRO AZ901,7280.0,20 MP,Full HD,2018 ,45,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-az901.html
Canon PowerShot D30,3867.28,12 MP,Full HD,2014 ,45,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-d30.html
Canon PowerShot SX620 HS,3099.0,20 MP,Full HD,2016 ,44,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx620-hs.html
Canon PowerShot Zoom,4999.0,12 MP,-,-,44,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-zoom.html
Kodak Pixpro AZ651,4999.99,20 MP,-,2014 ,42,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-az651.html
Kodak Pixpro WPZ2,2392.0,16 MP,Full HD,2019 ,42,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-wpz2.html
Ricoh WG-60,3399.0,16 MP,Full HD,2018 ,40,https://www.epey.com/kompakt-fotograf-makinesi/ricoh-wg-60.html
Kodak PixPro AZ527,4792.0,20 MP,Full HD,2017 ,40,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-az527.html
Sony DSC-W830,1449.0,20 MP,HD,2014 ,39,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-w830.html
Canon IXUS 185,1349.0,20 MP,HD,2016 ,39,https://www.epey.com/kompakt-fotograf-makinesi/canon-ixus-185.html
Sony DSC-H300,2705.94,20 MP,HD,2014 ,39,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-h300.html
Ricoh WG-70,3379.68,16 MP,-,-,38,https://www.epey.com/kompakt-fotograf-makinesi/ricoh-wg-70.html
Kodak Pixpro AZ528,3992.0,16 MP,Full HD,-,36,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-az528.html
Kodak PixPro AZ422,3192.0,20 MP,HD,2015 ,33,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-az422.html
Kodak PIXPRO AZ421,2935.5,16 MP,HD,2014 ,33,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-az421.html
Kodak PIXPRO AZ252,2080.0,16 MP,HD,2015 ,32,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-az252.html
Kodak PIXPRO AZ401,2552.0,16 MP,HD,2017 ,32,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-az401.html
Kodak PIXPRO FZ201,1745.03,16 MP,HD,2015 ,30,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-fz201.html
Kodak PIXPRO FZ152,1752.0,16 MP,HD,2016 ,30,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-fz152.html
Kodak PIXPRO FZ53,1239.2,16 MP,HD,2016 ,30,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-fz53.html
Kodak PIXPRO FZ43,1032.0,16 MP,HD,2016 ,30,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-fz43.html
Kodak Pixpro FZ102,1810.9,16 MP,-,-,26,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-fz102.html
Grundig GSC 100,580.0,10 MP,-,-,21,https://www.epey.com/kompakt-fotograf-makinesi/grundig-gsc-100.html
Praktica DCZ 10.4,486.0,10 MP,-,2010 ,14,https://www.epey.com/kompakt-fotograf-makinesi/praktica-dcz-10-4.html
Nikon Z9,,46 MP,8K UHD,2021 ,100,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-z9.html
Sony Alpha 1 (a1),,50 MP,-,2021 ,95,https://www.epey.com/aynasiz-fotograf-makinesi/sony-alpha-1-a1.html
Sony a7R IV 24-105 mm,,61 MP,Ultra HD,2019 ,93,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7r-iv-24-105-mm.html
Nikon Z7 II,,45 MP,Ultra HD,2020 ,92,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-z7-ii.html
Sony Alpha 7 IV (A7 IV) 28-70mm,,33 MP,Ultra HD,2021 ,92,https://www.epey.com/aynasiz-fotograf-makinesi/sony-alpha-7-iv-a7-iv-28-70mm.html
Sony Alpha 7 IV (A7 IV),,33 MP,Ultra HD,2021 ,91,https://www.epey.com/aynasiz-fotograf-makinesi/sony-alpha-7-iv-a7-iv.html
Nikon D5 28-300mm,,20 MP,4K,2016 ,90,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5-28-300mm.html
Nikon D5 24-70mm,,20 MP,4K,2016 ,90,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5-24-70mm.html
Nikon D5 14-24mm,,20 MP,4K,2016 ,90,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5-14-24mm.html
Canon EOS 5D Mark III 50mm,,22 MP,Full HD,2012 ,67,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-5d-mark-iii-50mm.html
Nikon D800E 24-85mm,,36 MP,Full HD,2012 ,67,https://www.epey.com/dslr-fotograf-makinesi/nikon-d800e-24-85mm.html
Fujifilm X-Pro2,,24 MP,Ultra HD,2016 ,67,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-pro2.html
Nikon D800E,,36 MP,Full HD,2012 ,66,https://www.epey.com/dslr-fotograf-makinesi/nikon-d800e.html
Nikon D800,,36 MP,Full HD,2012 ,66,https://www.epey.com/dslr-fotograf-makinesi/nikon-d800.html
Nikon D5600 18-200mm,,24 MP,Full HD,2017 ,66,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5600-18-200mm.html
Nikon D5600 18-105mm,,24 MP,Full HD,2017 ,66,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5600-18-105mm.html
Nikon D5600 11-16mm,,24 MP,Full HD,2017 ,66,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5600-11-16mm.html
Canon EOS 6D 16-28mm,,20 MP,Full HD,2012 ,66,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-6d-16-28mm.html
Canon EOS 200D,,24 MP,Full HD,2017 ,66,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-200d.html
Canon EOS 6D 50mm,,20 MP,Full HD,2012 ,66,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-6d-50mm.html
Canon EOS 800D 18-200mm,,24 MP,Full HD,2017 ,66,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-800d-18-200mm.html
Canon EOS 800D 24-105mm,,24 MP,Full HD,2017 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-800d-24-105mm.html
